pair,m0_tag,m1_tag,metric,m0,m1,diff_or_value,ci_low,ci_high,direction
4b_CO15_s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,stop_rate,0.9439421338155516,0.9017857142857143,-0.042156419529837286,-0.05085895117540684,-0.03356690777576854,DOWN
4b_CO15_s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,censor_rate,0.0009041591320072332,0.0011301989150090416,0.0002260397830018084,-0.0010171790235081373,0.0013562386980108501,UNRESOLVED
4b_CO15_s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,mean_episodes_experienced,3.694620253164557,3.933657323688969,0.23903707052441225,0.11505424954792032,0.36709143309222436,UP
4b_CO15_s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,zero_episode_rate,0.2750904159132007,0.23508137432188064,-0.04000904159132007,-0.05198915009041591,-0.028026107594936726,DOWN
4b_CO15_s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,mean_reuse_blocks,12.575384267631103,20.12149638336347,7.5461121157323685,5.675257120253165,9.47978921790235,UP
4b_CO15_s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,recovered_before_capture_mean,4.870901639344262,4.810244470314319,-0.06065716902994289,-0.5739249107814276,0.45139127576416455,UNRESOLVED
4b_CO15_s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,orbit_given_captured,0.10655737704918032,0.13853317811408614,0.031975801064905815,-0.00889081902859968,0.07134660377662393,UNRESOLVED
4b_CO15_s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,stop_in_episode_share,0.3004784688995215,0.323695080736012,0.023216611836490486,0.008990526853062049,0.037553950592079846,UP
4b_notrainC_s42,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,pooled_capture_hazard,0.0198744769874477,0.014928112572652186,-0.004946364414795512,-0.010077960391202323,0.0001536569348700132,UNRESOLVED
4b_notrainC_s42,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,pooled_gap_stop_hazard,0.5601472053975313,0.15153874098292594,-0.4086084644146053,-0.42972806115853457,-0.38734225535015504,DOWN
4b_notrainC_s42,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,pooled_inepisode_stop_hazard,0.24877963737796374,0.07684307127561946,-0.17193656610234428,-0.18499694062019484,-0.15962511195410098,DOWN
4b_notrainC_s42,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,cif_capture_final,0.012889436757923657,0.05522343717257757,0.04233400041465391,0.034402722065543206,0.05053424439086488,UP
4b_notrainC_s42,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,cif_stop_final,0.9871105632420762,0.9447765628274232,-0.04233400041465307,-0.050534244390865325,-0.03440272206554295,DOWN
4b_notrainC_s42,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,propensity_component,nan,nan,-0.007469587779667611,-0.019063151396523915,0.0035713855075331547,UNRESOLVED
4b_notrainC_s42,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,exposure_component,nan,nan,0.049779607720708274,0.041022194521773185,0.060036348319993535,UP
4b_notrainC_s42,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,decomposition_total,nan,nan,0.042310019941040666,0.03438349990607269,0.050514467902402896,UP
4b_notrainC_s42,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,raw_cif_diff,nan,nan,0.04233400041465391,0.034402722065543206,0.05053424439086488,UP
4b_notrainC_s42,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,capture_rate,0.012884267631103074,0.05515370705244123,0.04226943942133815,0.03435804701627486,0.05040969710669074,UP
4b_notrainC_s42,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,stop_rate,0.987002712477396,0.9439421338155516,-0.04306057866184443,-0.0511980108499096,-0.035036166365280286,DOWN
4b_notrainC_s42,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,censor_rate,0.00011301989150090416,0.0009041591320072332,0.0007911392405063291,0.0,0.0018083182640144665,UNRESOLVED
4b_notrainC_s42,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,mean_episodes_experienced,0.6482820976491862,3.694620253164557,3.046338155515371,2.847267744122966,3.241079905063291,UP
4b_notrainC_s42,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,zero_episode_rate,0.7053571428571429,0.2750904159132007,-0.4302667269439422,-0.4489150090415913,-0.41105334538878846,DOWN
4b_notrainC_s42,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,mean_reuse_blocks,1.5948236889692586,12.575384267631103,10.980560578661844,9.489833860759493,12.502845275768536,UP
4b_notrainC_s42,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,recovered_before_capture_mean,1.0964912280701755,4.870901639344262,3.7744104112740864,3.1552412282279043,4.383362552357474,UP
4b_notrainC_s42,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,orbit_given_captured,0.017543859649122806,0.10655737704918032,0.08901351740005752,0.04231526676054015,0.13114754098360656,UP
4b_notrainC_s42,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,stop_in_episode_share,0.1633844744675979,0.3004784688995215,0.1370939944319236,0.12029200087991133,0.15331590283397473,UP
4b_CGN_s42,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42,pooled_capture_hazard,0.014928112572652186,0.01127686023796839,-0.003651252334683797,-0.005307629684218508,-0.002021229720839298,DOWN
4b_CGN_s42,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42,pooled_gap_stop_hazard,0.15153874098292594,0.10091798044302534,-0.0506207605399006,-0.05663918393885313,-0.04511482262847491,DOWN
4b_CGN_s42,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42,pooled_inepisode_stop_hazard,0.07684307127561946,0.07276682649618185,-0.0040762447794376044,-0.007245625563931522,-0.0009521230807058034,DOWN
4b_CGN_s42,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42,cif_capture_final,0.05522343717257757,0.05745274205344438,0.0022293048808668114,-0.004204661630065575,0.008729163158707625,UNRESOLVED
4b_CGN_s42,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42,cif_stop_final,0.9447765628274232,0.9425472579465558,-0.0022293048808673666,-0.008729163158708276,0.004204661630065627,UNRESOLVED
4b_CGN_s42,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42,propensity_component,nan,nan,-0.015471959780082072,-0.02226965969701005,-0.008741951835216722,DOWN
4b_CGN_s42,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42,exposure_component,nan,nan,0.017696985152510575,0.015331338499984973,0.020235361983864223,UP
4b_CGN_s42,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42,decomposition_total,nan,nan,0.0022250253724285032,-0.004208045767515882,0.008723700981575197,UNRESOLVED
4b_CGN_s42,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42,raw_cif_diff,nan,nan,0.0022293048808668114,-0.004204661630065575,0.008729163158707625,UNRESOLVED
4b_CGN_s42,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42,capture_rate,0.05515370705244123,0.057414104882459314,0.0022603978300180863,-0.004181735985533452,0.008815551537070525,UNRESOLVED
4b_CGN_s42,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42,stop_rate,0.9439421338155516,0.9420207956600362,-0.0019213381555154285,-0.008589511754068746,0.004633815551537079,UNRESOLVED
