tag,sample_id,stable_prompt_id,blocks_after_capture,novel_triples_after_capture,new_gold_triples_after_capture,new_gold_pairs_after_capture,gold_pairs_covered_at_capture,gold_pairs_total
qwen3-8b-cleanv2,qwen3-8b-cleanv2:117:5,117,16,0,0,0,5,41
qwen3-8b-cleanv2,qwen3-8b-cleanv2:117:6,117,32,0,0,0,5,41
qwen3-8b-cleanv2,qwen3-8b-cleanv2:118:0,118,18,0,0,0,12,60
qwen3-8b-cleanv2,qwen3-8b-cleanv2:118:1,118,72,34,1,5,20,60
qwen3-8b-cleanv2,qwen3-8b-cleanv2:118:2,118,64,0,0,0,17,60
qwen3-8b-cleanv2,qwen3-8b-cleanv2:118:5,118,0,0,0,0,27,60
qwen3-8b-cleanv2,qwen3-8b-cleanv2:122:0,122,0,0,0,0,26,84
qwen3-8b-cleanv2,qwen3-8b-cleanv2:122:1,122,30,0,0,0,26,84
qwen3-8b-cleanv2,qwen3-8b-cleanv2:132:1,132,528,0,0,0,10,53
qwen3-8b-cleanv2,qwen3-8b-cleanv2:132:2,132,6,0,0,0,12,53
qwen3-8b-cleanv2,qwen3-8b-cleanv2:132:3,132,22,0,0,0,10,53
qwen3-8b-cleanv2,qwen3-8b-cleanv2:132:6,132,30,0,0,0,10,53
qwen3-8b-cleanv2,qwen3-8b-cleanv2:134:0,134,25,0,0,0,16,64
qwen3-8b-cleanv2,qwen3-8b-cleanv2:134:3,134,287,0,0,0,6,64
qwen3-8b-cleanv2,qwen3-8b-cleanv2:134:5,134,3,0,0,0,29,64
qwen3-8b-cleanv2,qwen3-8b-cleanv2:134:6,134,105,3,0,0,20,64
qwen3-8b-cleanv2,qwen3-8b-cleanv2:134:7,134,62,0,0,0,25,64
qwen3-8b-cleanv2,qwen3-8b-cleanv2:137:3,137,326,0,0,0,11,46
qwen3-8b-cleanv2,qwen3-8b-cleanv2:138:3,138,77,0,0,0,15,83
qwen3-8b-cleanv2,qwen3-8b-cleanv2:144:1,144,24,0,0,0,24,41
qwen3-8b-cleanv2,qwen3-8b-cleanv2:147:0,147,43,0,0,0,18,47
qwen3-8b-cleanv2,qwen3-8b-cleanv2:151:4,151,8,0,0,0,18,35
qwen3-8b-cleanv2,qwen3-8b-cleanv2:153:0,153,407,0,0,0,12,98
qwen3-8b-cleanv2,qwen3-8b-cleanv2:153:3,153,431,0,0,0,15,98
qwen3-8b-cleanv2,qwen3-8b-cleanv2:154:3,154,15,0,0,0,27,77
qwen3-8b-cleanv2,qwen3-8b-cleanv2:154:4,154,16,0,0,0,22,77
qwen3-8b-cleanv2,qwen3-8b-cleanv2:154:5,154,53,0,0,0,24,77
qwen3-8b-cleanv2,qwen3-8b-cleanv2:154:7,154,33,0,0,0,5,77
qwen3-8b-cleanv2,qwen3-8b-cleanv2:155:5,155,11,0,0,0,23,73
qwen3-8b-cleanv2,qwen3-8b-cleanv2:155:7,155,417,0,0,0,20,73
qwen3-8b-cleanv2,qwen3-8b-cleanv2:160:1,160,10,0,0,0,4,56
qwen3-8b-cleanv2,qwen3-8b-cleanv2:160:2,160,59,0,0,0,5,56
qwen3-8b-cleanv2,qwen3-8b-cleanv2:160:3,160,3,0,0,0,5,56
qwen3-8b-cleanv2,qwen3-8b-cleanv2:160:5,160,227,0,0,0,1,56
qwen3-8b-cleanv2,qwen3-8b-cleanv2:160:7,160,9,0,0,0,8,56
qwen3-8b-cleanv2,qwen3-8b-cleanv2:161:3,161,48,0,0,0,16,51
qwen3-8b-cleanv2,qwen3-8b-cleanv2:161:5,161,11,0,0,0,19,51
qwen3-8b-cleanv2,qwen3-8b-cleanv2:162:6,162,472,0,0,0,1,35
qwen3-8b-cleanv2,qwen3-8b-cleanv2:163:0,163,37,0,0,0,18,97
qwen3-8b-cleanv2,qwen3-8b-cleanv2:163:2,163,5,0,0,0,13,97
qwen3-8b-cleanv2,qwen3-8b-cleanv2:163:5,163,479,0,0,0,13,97
qwen3-8b-cleanv2,qwen3-8b-cleanv2:163:6,163,424,0,0,0,16,97
qwen3-8b-cleanv2,qwen3-8b-cleanv2:164:6,164,1,0,0,0,18,66
qwen3-8b-cleanv2,qwen3-8b-cleanv2:167:0,167,20,0,0,0,6,43
qwen3-8b-cleanv2,qwen3-8b-cleanv2:167:3,167,69,0,0,0,9,43
qwen3-8b-cleanv2,qwen3-8b-cleanv2:167:4,167,10,0,0,0,10,43
qwen3-8b-cleanv2,qwen3-8b-cleanv2:170:6,170,20,0,0,0,12,67
qwen3-8b-cleanv2,qwen3-8b-cleanv2:170:7,170,189,0,0,0,10,67
qwen3-8b-cleanv2,qwen3-8b-cleanv2:171:1,171,86,0,0,0,21,63
qwen3-8b-cleanv2,qwen3-8b-cleanv2:175:5,175,440,0,0,0,29,56
qwen3-8b-cleanv2,qwen3-8b-cleanv2:177:7,177,508,0,0,0,9,34
qwen3-8b-cleanv2,qwen3-8b-cleanv2:178:6,178,83,0,0,0,15,69
qwen3-8b-cleanv2,qwen3-8b-cleanv2:185:0,185,517,0,0,0,2,8
qwen3-8b-cleanv2,qwen3-8b-cleanv2:188:6,188,241,0,0,0,19,44
qwen3-8b-cleanv2,qwen3-8b-cleanv2:190:4,190,3,0,0,0,15,68
qwen3-8b-cleanv2,qwen3-8b-cleanv2:193:2,193,328,0,0,0,30,87
qwen3-8b-cleanv2,qwen3-8b-cleanv2:196:1,196,23,0,0,0,14,41
qwen3-8b-cleanv2,qwen3-8b-cleanv2:196:5,196,5,0,0,0,15,41
qwen3-8b-cleanv2,qwen3-8b-cleanv2:202:2,202,0,0,0,0,33,86
qwen3-8b-cleanv2,qwen3-8b-cleanv2:202:3,202,64,0,0,0,26,86
qwen3-8b-cleanv2,qwen3-8b-cleanv2:204:3,204,450,0,0,0,13,108
qwen3-8b-cleanv2,qwen3-8b-cleanv2:204:5,204,7,0,0,0,33,108
qwen3-8b-cleanv2,qwen3-8b-cleanv2:204:6,204,1,0,0,0,27,108
qwen3-8b-cleanv2,qwen3-8b-cleanv2:216:3,216,337,0,0,0,17,70
qwen3-8b-cleanv2,qwen3-8b-cleanv2:216:7,216,412,0,0,0,19,70
qwen3-8b-cleanv2,qwen3-8b-cleanv2:218:3,218,71,0,0,0,10,50
qwen3-8b-cleanv2,qwen3-8b-cleanv2:218:4,218,8,0,0,0,10,50
qwen3-8b-cleanv2,qwen3-8b-cleanv2:228:6,228,507,0,0,0,7,43
qwen3-8b-cleanv2,qwen3-8b-cleanv2:229:4,229,2,0,0,0,34,76
