tag,sample_id,stable_prompt_id,blocks_after_capture,novel_triples_after_capture,new_gold_triples_after_capture,new_gold_pairs_after_capture,gold_pairs_covered_at_capture,gold_pairs_total
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:48:0,48,51,0,0,0,7,80
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:48:1,48,129,0,0,0,6,80
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:48:3,48,276,0,0,0,5,80
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:48:7,48,48,0,0,0,10,80
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:51:0,51,17,0,0,0,25,120
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:54:1,54,0,0,0,0,3,16
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:54:4,54,0,0,0,0,3,16
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:55:2,55,3,0,0,0,11,44
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:60:5,60,453,0,0,0,15,95
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:64:1,64,1,0,0,0,9,56
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:64:3,64,424,0,0,0,2,56
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:64:4,64,52,0,0,0,4,56
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:67:0,67,514,0,0,0,2,78
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:67:1,67,489,0,0,0,1,78
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:67:2,67,4,0,0,0,2,78
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:67:3,67,1,0,0,0,2,78
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:67:4,67,25,0,0,0,2,78
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:67:5,67,9,0,0,0,3,78
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:67:6,67,15,0,0,0,4,78
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:68:6,68,6,0,0,0,22,82
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:69:3,69,35,24,2,2,15,62
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:69:4,69,0,0,0,0,23,62
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:69:5,69,6,0,0,0,21,62
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:69:7,69,14,0,0,0,22,62
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:70:0,70,281,0,0,0,15,115
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:70:4,70,23,0,0,0,20,115
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:70:5,70,12,0,0,0,21,115
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:73:5,73,7,0,0,0,13,38
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:74:1,74,281,0,0,0,7,45
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:74:3,74,18,0,0,0,4,45
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:74:5,74,15,0,0,0,9,45
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:74:7,74,9,0,0,0,5,45
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:75:7,75,1,0,0,0,3,59
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:76:4,76,8,0,0,0,2,39
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:77:0,77,322,0,0,0,1,55
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:77:1,77,18,0,0,0,3,55
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:77:4,77,317,0,0,0,1,55
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:77:6,77,0,0,0,0,1,55
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:78:1,78,0,0,0,0,2,77
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:78:3,78,22,0,0,0,5,77
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:78:4,78,13,0,0,0,6,77
