tag,sample_id,stable_prompt_id,blocks_after_capture,novel_triples_after_capture,new_gold_triples_after_capture,new_gold_pairs_after_capture,gold_pairs_covered_at_capture,gold_pairs_total
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:1:7,1,408,0,0,0,3,88
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:2:2,2,3,0,0,0,16,93
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:2:3,2,1,0,0,0,7,93
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:2:4,2,0,0,0,0,19,93
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:2:5,2,23,0,0,0,4,93
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:2:6,2,2,0,0,0,16,93
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:4:1,4,13,0,0,0,7,46
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:4:2,4,404,0,0,0,5,46
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:4:4,4,398,0,0,0,5,46
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:4:7,4,453,0,0,0,5,46
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:5:0,5,432,0,0,0,20,94
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:5:1,5,18,0,0,0,45,94
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:5:3,5,2,0,0,0,16,94
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:12:2,12,303,0,0,0,33,57
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:12:5,12,20,0,0,0,29,57
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:14:0,14,342,0,0,0,9,81
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:14:5,14,3,0,0,0,15,81
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:16:0,16,32,0,0,0,6,78
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:16:3,16,198,0,0,0,5,78
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:16:7,16,370,0,0,0,12,78
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:19:1,19,7,0,0,0,9,51
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:19:5,19,0,0,0,0,5,51
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:20:0,20,381,0,0,0,2,90
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:20:1,20,67,0,0,0,15,90
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:20:5,20,360,0,0,0,16,90
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:21:2,21,7,0,0,0,25,71
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:21:4,21,14,0,0,0,15,71
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:21:5,21,1,0,0,0,17,71
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:21:6,21,20,0,0,0,17,71
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:22:1,22,5,0,0,0,7,60
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:22:7,22,519,9,0,5,17,60
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:23:1,23,417,0,0,0,7,74
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:23:4,23,550,0,0,0,12,74
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:25:4,25,4,0,0,0,3,61
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:28:4,28,0,0,0,0,24,59
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:31:0,31,21,0,0,0,7,86
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:31:2,31,34,0,0,0,7,86
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:31:3,31,7,0,0,0,4,86
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:31:4,31,38,0,0,0,8,86
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:31:5,31,10,0,0,0,3,86
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:31:7,31,552,0,0,0,7,86
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:33:4,33,8,0,0,0,15,100
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:35:1,35,91,0,0,0,17,59
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:35:2,35,58,0,0,0,13,59
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:35:6,35,24,0,0,0,6,59
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:37:3,37,0,0,0,0,24,55
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:37:4,37,60,0,0,0,21,55
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:40:3,40,399,0,0,0,3,32
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:40:4,40,220,0,0,0,5,32
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:40:5,40,0,0,0,0,6,32
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:40:6,40,2,0,0,0,5,32
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:40:7,40,10,0,0,0,4,32
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:42:6,42,0,0,0,0,8,56
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:43:4,43,2,0,0,0,28,69
qwen3-4b-obr-p15-s42,qwen3-4b-obr-p15-s42:45:0,45,8,0,0,0,4,77
