metric,m0,m1,diff,ci_low,ci_high,n_prompts,n_m0,n_m1,direction,scale,contrast,kind,m0_tag,m1_tag,split,role,source,n_anchors
next_event_close_rate,0.28439922480620156,0.10610465116279069,-0.17829457364341086,-0.21560077519379847,-0.14222440944881892,119,129,129,m1_lower,8B,raw - cleaned (s42),treatment,qwen3-8b-cleanv2,qwen3-8b-keep4-s42,test,all,all,129
continue_rate,0.7156007751937985,0.8938953488372093,0.17829457364341084,0.14222440944881898,0.2156007751937985,119,129,129,m1_higher,8B,raw - cleaned (s42),treatment,qwen3-8b-cleanv2,qwen3-8b-keep4-s42,test,all,all,129
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,119,129,129,interval_covers_zero,8B,raw - cleaned (s42),treatment,qwen3-8b-cleanv2,qwen3-8b-keep4-s42,test,all,all,129
unresolved_rate,0.0,0.0,0.0,0.0,0.0,119,129,129,interval_covers_zero,8B,raw - cleaned (s42),treatment,qwen3-8b-cleanv2,qwen3-8b-keep4-s42,test,all,all,129
margin_first_policy,-3.989479512735328,-5.968992248062016,-1.9795127353266881,-2.210022108843539,-1.7480487106437976,119,129,129,m1_lower,8B,raw - cleaned (s42),treatment,qwen3-8b-cleanv2,qwen3-8b-keep4-s42,test,all,all,129
margin_first_raw,-4.292635658914729,-5.678294573643411,-1.3856589147286824,-1.5470154761904769,-1.2236340974506583,119,129,129,m1_lower,8B,raw - cleaned (s42),treatment,qwen3-8b-cleanv2,qwen3-8b-keep4-s42,test,all,all,129
close_prob_pre_filter,0.2971945129599818,0.13237761666510725,-0.16481689629487453,-0.19332780058532983,-0.13706771966200224,119,129,129,m1_lower,8B,raw - cleaned (s42),treatment,qwen3-8b-cleanv2,qwen3-8b-keep4-s42,test,all,all,129
close_sampler_prob,0.2954236127267251,0.11223160488658397,-0.18319200784014117,-0.2183034331828326,-0.14930807264246512,119,129,129,m1_lower,8B,raw - cleaned (s42),treatment,qwen3-8b-cleanv2,qwen3-8b-keep4-s42,test,all,all,129
eos_after_forced_close_prob,0.9999999742029707,0.9999998325754911,-1.4162747963286648e-07,-2.6367012577743766e-07,-6.65970366714453e-08,119,129,129,m1_lower,8B,raw - cleaned (s42),treatment,qwen3-8b-cleanv2,qwen3-8b-keep4-s42,test,all,all,129
next_event_close_rate,0.19057377049180327,0.020491803278688523,-0.17008196721311475,-0.2192622950819672,-0.12397540983606557,61,61,61,m1_lower,8B,raw - cleaned (s42),treatment,qwen3-8b-cleanv2,qwen3-8b-keep4-s42,test,all,qwen3-8b-cleanv2,61
continue_rate,0.8094262295081968,0.9795081967213115,0.17008196721311475,0.12397540983606559,0.21926229508196715,61,61,61,m1_higher,8B,raw - cleaned (s42),treatment,qwen3-8b-cleanv2,qwen3-8b-keep4-s42,test,all,qwen3-8b-cleanv2,61
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,61,61,61,interval_covers_zero,8B,raw - cleaned (s42),treatment,qwen3-8b-cleanv2,qwen3-8b-keep4-s42,test,all,qwen3-8b-cleanv2,61
unresolved_rate,0.0,0.0,0.0,0.0,0.0,61,61,61,interval_covers_zero,8B,raw - cleaned (s42),treatment,qwen3-8b-cleanv2,qwen3-8b-keep4-s42,test,all,qwen3-8b-cleanv2,61
margin_first_policy,-4.555035128805621,-7.037470725995318,-2.4824355971896974,-2.836724238875881,-2.1457113583138185,61,61,61,m1_lower,8B,raw - cleaned (s42),treatment,qwen3-8b-cleanv2,qwen3-8b-keep4-s42,test,all,qwen3-8b-cleanv2,61
margin_first_raw,-4.688524590163935,-6.426229508196721,-1.7377049180327866,-1.9857069672131147,-1.5019979508196721,61,61,61,m1_lower,8B,raw - cleaned (s42),treatment,qwen3-8b-cleanv2,qwen3-8b-keep4-s42,test,all,qwen3-8b-cleanv2,61
