metric,m0,m1,diff,ci_low,ci_high,n_prompts,n_m0,n_m1,direction,contrast,m0_tag,m1_tag
json_list_complete_rate,0.9873417721518988,0.9898282097649186,0.0024864376130198096,-0.00045207956600357146,0.0056509945750451455,1106,8848,8848,interval_covers_zero,ISC-E - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-isc-e-s42
gen_tokens_mean,4733.512658227848,4689.91037522604,-43.602283001808246,-123.00631498643784,33.42901785714284,1106,8848,8848,interval_covers_zero,ISC-E - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-isc-e-s42
n_blocks_mean,80.91478300180832,80.28537522603979,-0.6294077757685272,-2.0225248643761184,0.7460640822784881,1106,8848,8848,interval_covers_zero,ISC-E - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-isc-e-s42
out_of_candidate_block_rate,0.027345255790861518,0.023565497564908503,-0.0037797582259530144,-0.006927427407705487,-0.0009895453727434716,1106,8848,8848,m1_lower,ISC-E - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-isc-e-s42
out_of_text_endpoint_rate,0.011093495245966308,0.009203366584654015,-0.0018901286613122927,-0.004758519179705723,0.0006079340286154597,1106,8848,8848,interval_covers_zero,ISC-E - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-isc-e-s42
strict_f1,0.09074541474238673,0.08872580047011847,-0.0020196142722682664,-0.0038395047353224675,-0.0002627416023935021,1106,8848,8848,m1_lower,ISC-E - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-isc-e-s42
relaxed_f1,0.33887731691553613,0.33388163292886586,-0.004995683986670274,-0.007646845865085426,-0.002344731664076489,1106,8848,8848,m1_lower,ISC-E - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-isc-e-s42
semantic_capture_rate,0.05515370705244123,0.04486889692585895,-0.010284810126582278,-0.01661392405063291,-0.003955696202531646,1106,8848,8848,m1_lower,ISC-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-isc-ae-s42
stable_orbit_rate,0.00599005424954792,0.0030515370705244123,-0.002938517179023508,-0.005085895117540686,-0.0010171790235081377,1106,8848,8848,m1_lower,ISC-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-isc-ae-s42
hit_max_rate,0.011415009041591321,0.005085895117540687,-0.006329113924050634,-0.009380650994575045,-0.0036166365280289334,1106,8848,8848,m1_lower,ISC-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-isc-ae-s42
runaway_any_rate,0.010962929475587703,0.004859855334538879,-0.006103074141048824,-0.008928571428571428,-0.0036166365280289325,1106,8848,8848,m1_lower,ISC-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-isc-ae-s42
json_list_complete_rate,0.9873417721518988,0.9934448462929476,0.006103074141048825,0.0030515370705244127,0.009267631103074159,1106,8848,8848,m1_higher,ISC-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-isc-ae-s42
gen_tokens_mean,4733.512658227848,4781.644326401447,48.13166817359888,-32.85829848553342,125.52777463833586,1106,8848,8848,interval_covers_zero,ISC-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-isc-ae-s42
n_blocks_mean,80.91478300180832,81.69733273056057,0.782549728752258,-0.6575158227848081,2.1193518309222386,1106,8848,8848,interval_covers_zero,ISC-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-isc-ae-s42
out_of_candidate_block_rate,0.027345255790861518,0.02787532485315639,0.0005300690622948717,-0.002874406612285108,0.003931790634155558,1106,8848,8848,interval_covers_zero,ISC-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-isc-ae-s42
out_of_text_endpoint_rate,0.011093495245966308,0.01115840282076664,6.49075748003318e-05,-0.0029400556722216776,0.002967752068175374,1106,8848,8848,interval_covers_zero,ISC-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-isc-ae-s42
strict_f1,0.09074541474238673,0.0886495662048686,-0.0020958485375181385,-0.003730388163355439,-0.00047460660370130995,1106,8848,8848,m1_lower,ISC-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-isc-ae-s42
relaxed_f1,0.33887731691553613,0.3327971900788869,-0.006080126836649213,-0.009042011506686345,-0.003161768402021216,1106,8848,8848,m1_lower,ISC-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-isc-ae-s42
semantic_capture_rate,0.05515370705244123,0.04792043399638336,-0.007233273056057865,-0.01322332730560579,-0.0012432188065099464,1106,8848,8848,m1_lower,BenignInput - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-benign-input-s42
stable_orbit_rate,0.00599005424954792,0.005198915009041591,-0.000791139240506329,-0.003051537070524412,0.0014692585895117538,1106,8848,8848,interval_covers_zero,BenignInput - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-benign-input-s42
hit_max_rate,0.011415009041591321,0.008250452079566003,-0.0031645569620253177,-0.006216094032549729,-0.00045207956600361657,1106,8848,8848,m1_lower,BenignInput - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-benign-input-s42
runaway_any_rate,0.010962929475587703,0.008363471971066908,-0.0025994575045207944,-0.005424954792043399,0.0,1106,8848,8848,interval_covers_zero,BenignInput - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-benign-input-s42
json_list_complete_rate,0.9873417721518988,0.989376130198915,0.002034358047016238,-0.0010171790235081746,0.005201740506329188,1106,8848,8848,interval_covers_zero,BenignInput - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-benign-input-s42
gen_tokens_mean,4733.512658227848,4677.211686256781,-56.300971971067156,-132.1770371835448,16.606933770343435,1106,8848,8848,interval_covers_zero,BenignInput - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-benign-input-s42
n_blocks_mean,80.91478300180832,79.65506329113924,-1.2597197106690743,-2.5958634719710636,0.042650881555147305,1106,8848,8848,interval_covers_zero,BenignInput - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-benign-input-s42
out_of_candidate_block_rate,0.027345255790861518,0.026258124031609462,-0.0010871317592520552,-0.004130035712519332,0.0018715100954644183,1106,8848,8848,interval_covers_zero,BenignInput - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-benign-input-s42
out_of_text_endpoint_rate,0.011093495245966308,0.01083403241552052,-0.00025946283044578876,-0.0030193754212154843,0.002334801125634668,1106,8848,8848,interval_covers_zero,BenignInput - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-benign-input-s42
strict_f1,0.09074541474238673,0.09026478583417068,-0.00048062890821605475,-0.0021415946948574456,0.001173592285723082,1106,8848,8848,interval_covers_zero,BenignInput - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-benign-input-s42
relaxed_f1,0.33887731691553613,0.33788720737198735,-0.0009901095435487783,-0.0036780254859947485,0.0017704663930064616,1106,8848,8848,interval_covers_zero,BenignInput - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-benign-input-s42
semantic_capture_rate,0.05515370705244123,0.057414104882459314,0.0022603978300180863,-0.003955696202531646,0.008589511754068718,1106,8848,8848,interval_covers_zero,GenericNoise - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42
stable_orbit_rate,0.00599005424954792,0.008476491862567812,0.002486437613019891,0.0003390596745027124,0.004746835443037975,1106,8848,8848,m1_higher,GenericNoise - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42
hit_max_rate,0.011415009041591321,0.012545207956600362,0.0011301989150090414,-0.0019213381555153695,0.004181735985533454,1106,8848,8848,interval_covers_zero,GenericNoise - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42
runaway_any_rate,0.010962929475587703,0.012206148282097649,0.0012432188065099464,-0.001582278481012658,0.004068716094032551,1106,8848,8848,interval_covers_zero,GenericNoise - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42
json_list_complete_rate,0.9873417721518988,0.985872513562387,-0.001469258589511746,-0.004633815551537079,0.0016952983725135873,1106,8848,8848,interval_covers_zero,GenericNoise - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42
gen_tokens_mean,4733.512658227848,5323.119462025316,589.6068037974683,508.2892066003616,666.753246496383,1106,8848,8848,m1_higher,GenericNoise - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42
n_blocks_mean,80.91478300180832,91.20445298372513,10.289669981916816,8.873149299276662,11.674440551537066,1106,8848,8848,m1_higher,GenericNoise - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42
out_of_candidate_block_rate,0.027345255790861518,0.028740463294991435,0.0013952075041299174,-0.0014894620072833926,0.003987944999683005,1106,8848,8848,interval_covers_zero,GenericNoise - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42
