condition,replacement_rate,train_seed,records,target_blocks,continuous_pattern_repetition,stable_token_orbit,hit_context_limit,entity_pair_f1,out_of_candidate_blocks,triple_f1,gen_tokens_mean,tag
OBR 0% s42,0.0,42,8854,585029,0.05515370705244123,0.00599005424954792,0.011415009041591321,0.3389,0.027345255790861518,0.0907,4733.512658227848,qwen3-4b-cleanv2-s42
OBR 5% s42,0.049999,42,8854,585029,0.04950271247739602,0.00599005424954792,0.007572332730560578,0.335,0.0697876793996834,0.0906,4759.520569620253,qwen3-4b-obr-p5-s42
OBR 10% s42,0.1,42,8854,585029,0.07368896925858952,0.010736889692585894,0.014014466546112115,0.3258,0.10096181280743201,0.088,5038.816681735985,qwen3-4b-obr-p10-s42
OBR 15% s42,0.149999,42,8854,585029,0.09708408679927667,0.013562386980108499,0.024299276672694395,0.3188,0.13396430819681732,0.087,5197.4877938517175,qwen3-4b-obr-p15-s42
OBR 0% s123,0.0,123,8854,585029,0.04396473779385172,0.005085895117540687,0.00949367088607595,0.3389,0.02503588938769055,0.0924,4638.57075045208,qwen3-4b-cleanv2-s123
OBR 15% s123,0.149999,123,8854,585029,0.09471066907775769,0.013110307414104882,0.017179023508137433,0.3224,0.1403664180749188,0.087,5137.156984629295,qwen3-4b-obr-p15-s123
