metric,m0,m1,diff,ci_low,ci_high,n_prompts,n_m0,n_m1,direction,contrast,m0_tag,m1_tag
out_of_candidate_block_rate,0.02503588938769055,0.2672544215501198,0.24221853216242925,0.22968894471284082,0.2542744635894019,1106,8848,8848,m1_higher,4B s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123
out_of_text_endpoint_rate,0.00886893682251177,0.13177357379068427,0.1229046369681725,0.11194854761516494,0.1333685690425119,1106,8848,8848,m1_higher,4B s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123
strict_f1,0.09235930082083069,0.08156266336794427,-0.01079663745288642,-0.012958843863410719,-0.008611913256281195,1106,8848,8848,m1_lower,4B s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123
relaxed_f1,0.3389392650684042,0.2917691091031524,-0.047170155965251814,-0.052020917142013866,-0.04221915429459527,1106,8848,8848,m1_lower,4B s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123
semantic_capture_rate,0.07131555153707052,0.3178119349005425,0.24649638336347196,0.2304475587703436,0.2626610533453888,1106,8848,8848,m1_higher,8B s42,qwen3-8b-cleanv2,qwen3-8b-keep4-s42
stable_orbit_rate,0.005085895117540687,0.06204792043399638,0.056962025316455694,0.05085895117540687,0.06296055605786614,1106,8848,8848,m1_higher,8B s42,qwen3-8b-cleanv2,qwen3-8b-keep4-s42
hit_max_rate,0.018309222423146473,0.2587025316455696,0.24039330922242313,0.22423146473779387,0.2570100587703436,1106,8848,8848,m1_higher,8B s42,qwen3-8b-cleanv2,qwen3-8b-keep4-s42
runaway_any_rate,0.018083182640144666,0.2563291139240506,0.23824593128390595,0.22219428119349005,0.2549728752260398,1106,8848,8848,m1_higher,8B s42,qwen3-8b-cleanv2,qwen3-8b-keep4-s42
json_list_complete_rate,0.9799954792043399,0.7384719710669078,-0.24152350813743217,-0.2581402576853526,-0.22524864376130205,1106,8848,8848,m1_lower,8B s42,qwen3-8b-cleanv2,qwen3-8b-keep4-s42
gen_tokens_mean,5165.542495479204,11841.471971066907,6675.929475587703,6301.38894948011,7046.9787494349,1106,8848,8848,m1_higher,8B s42,qwen3-8b-cleanv2,qwen3-8b-keep4-s42
n_blocks_mean,88.6495253164557,207.747965641953,119.0984403254973,112.30179701627488,126.04886132459313,1106,8848,8848,m1_higher,8B s42,qwen3-8b-cleanv2,qwen3-8b-keep4-s42
out_of_candidate_block_rate,0.0218035249861994,0.23393514211733196,0.21213161713113257,0.20166874538803506,0.22269470646683837,1106,8848,8848,m1_higher,8B s42,qwen3-8b-cleanv2,qwen3-8b-keep4-s42
out_of_text_endpoint_rate,0.00722753063164065,0.07852893600127986,0.0713014053696392,0.06548014737519416,0.07741135929891292,1106,8848,8848,m1_higher,8B s42,qwen3-8b-cleanv2,qwen3-8b-keep4-s42
strict_f1,0.09737906248074464,0.08658889665394393,-0.010790165826800716,-0.012896676949287459,-0.008669695286323576,1106,8848,8848,m1_lower,8B s42,qwen3-8b-cleanv2,qwen3-8b-keep4-s42
relaxed_f1,0.3538677417705507,0.29783248090097914,-0.05603526086957156,-0.06108324169237585,-0.05110359458740544,1106,8848,8848,m1_lower,8B s42,qwen3-8b-cleanv2,qwen3-8b-keep4-s42
