model,progress_range,count,denominator_seeded,share,mean_strict_coverage,mean_relaxed_coverage,mean_relaxed_fraction_of_final
M0,<0.75G,1647,5898,0.2792472024415056,0.058237644971451674,0.23119265890869575,nan
M0,0.75-1.00G,1429,5898,0.24228552051542895,0.09548376244877156,0.34251159626483674,nan
M0,1.00-1.25G,1239,5898,0.2100712105798576,0.09696083848662201,0.3768556962053564,nan
M0,>=1.25G,1583,5898,0.26839606646320785,0.10821195152515325,0.39921733051349495,nan
M1,<0.75G,1657,7484,0.22140566541956172,0.059515023233463714,0.22448120673304967,nan
M1,0.75-1.00G,1499,7484,0.20029396044895778,0.08701149119310134,0.31794940080192147,nan
M1,1.00-1.25G,1375,7484,0.18372528059861037,0.09894256798160139,0.364902852105697,nan
M1,>=1.25G,2953,7484,0.3945750935328701,0.10431308935215015,0.3870984067075317,nan
