model,capture_kind,seed_ordinal_bin,count,denominator,share
M0,primary_semantic_capture,1,83,631,0.13153724247226625
M0,primary_semantic_capture,2,49,631,0.07765451664025357
M0,primary_semantic_capture,3-5,139,631,0.2202852614896989
M0,primary_semantic_capture,6-10,136,631,0.21553090332805072
M0,primary_semantic_capture,>10,224,631,0.3549920760697306
M0,legacy_aligned_capture,1,4,45,0.08888888888888889
M0,legacy_aligned_capture,2,5,45,0.1111111111111111
M0,legacy_aligned_capture,3-5,16,45,0.35555555555555557
M0,legacy_aligned_capture,6-10,13,45,0.28888888888888886
M0,legacy_aligned_capture,>10,7,45,0.15555555555555556
M1,primary_semantic_capture,1,262,2812,0.09317211948790896
M1,primary_semantic_capture,2,215,2812,0.07645803698435277
M1,primary_semantic_capture,3-5,563,2812,0.20021337126600283
M1,primary_semantic_capture,6-10,580,2812,0.20625889046941678
M1,primary_semantic_capture,>10,1192,2812,0.4238975817923186
M1,legacy_aligned_capture,1,50,542,0.09225092250922509
M1,legacy_aligned_capture,2,56,542,0.1033210332103321
M1,legacy_aligned_capture,3-5,168,542,0.30996309963099633
M1,legacy_aligned_capture,6-10,133,542,0.24538745387453875
M1,legacy_aligned_capture,>10,135,542,0.24907749077490776
