sample_id,stable_prompt_id,model_tag,seed,kind,seed_ordinal,prior_reuse_events,progress,after_1g,after_1_25g,after_last_new_relaxed,relaxed_coverage,relaxed_fraction_of_final
M0:77:4,77,M0,4,primary_semantic_capture,1,0,2.0727272727272728,True,True,True,0.05454545454545454,1.0
M0:77:5,77,M0,5,primary_semantic_capture,6,5,1.4727272727272727,True,True,True,0.16363636363636364,1.0
M0:77:5,77,M0,5,legacy_aligned_capture,6,5,1.4727272727272727,True,True,True,0.16363636363636364,1.0
M0:77:6,77,M0,6,primary_semantic_capture,5,4,1.4,True,True,True,0.21818181818181817,1.0
M0:77:7,77,M0,7,primary_semantic_capture,2,1,0.8727272727272727,False,False,True,0.07272727272727272,1.0
M0:77:7,77,M0,7,legacy_aligned_capture,2,1,0.8727272727272727,False,False,True,0.07272727272727272,1.0
M0:78:4,78,M0,4,primary_semantic_capture,4,3,0.8961038961038961,False,False,True,0.4675324675324675,1.0
M0:78:5,78,M0,5,primary_semantic_capture,15,14,1.1818181818181819,True,False,True,0.44155844155844154,1.0
M0:81:3,81,M0,3,primary_semantic_capture,24,23,0.8636363636363636,False,False,True,0.13636363636363635,1.0
M0:81:4,81,M0,4,primary_semantic_capture,14,13,0.8454545454545455,False,False,True,0.09090909090909091,1.0
M0:81:5,81,M0,5,primary_semantic_capture,9,8,0.7272727272727273,False,False,True,0.09090909090909091,1.0
M0:82:1,82,M0,1,primary_semantic_capture,1,0,1.3035714285714286,True,True,True,0.32142857142857145,1.0
M0:82:4,82,M0,4,primary_semantic_capture,25,24,1.9107142857142858,True,True,True,0.4107142857142857,1.0
M0:94:1,94,M0,1,primary_semantic_capture,1,0,0.9454545454545454,False,False,True,0.12727272727272726,1.0
M0:100:7,100,M0,7,primary_semantic_capture,5,4,0.967741935483871,False,False,True,0.20967741935483872,1.0
M0:117:0,117,M0,0,primary_semantic_capture,7,6,0.8048780487804879,False,False,True,0.024390243902439025,1.0
M0:117:1,117,M0,1,primary_semantic_capture,14,13,1.3414634146341464,True,True,True,0.14634146341463414,1.0
M0:117:3,117,M0,3,primary_semantic_capture,1,0,0.4878048780487805,False,False,True,0.0975609756097561,1.0
M0:117:5,117,M0,5,primary_semantic_capture,6,5,1.4390243902439024,True,True,True,0.12195121951219512,1.0
M0:117:6,117,M0,6,primary_semantic_capture,44,43,3.268292682926829,True,True,True,0.12195121951219512,1.0
M0:118:0,118,M0,0,primary_semantic_capture,4,3,0.95,False,False,True,0.2,1.0
M0:118:1,118,M0,1,primary_semantic_capture,1,0,0.8666666666666667,False,False,False,0.25,0.75
M0:118:2,118,M0,2,primary_semantic_capture,4,3,0.6166666666666667,False,False,True,0.2833333333333333,1.0
M0:118:5,118,M0,5,primary_semantic_capture,5,4,1.55,True,True,True,0.45,1.0
M0:122:0,122,M0,0,primary_semantic_capture,3,2,0.9166666666666666,False,False,True,0.30952380952380953,1.0
M0:122:1,122,M0,1,primary_semantic_capture,3,2,1.369047619047619,True,True,True,0.30952380952380953,1.0
M0:132:1,132,M0,1,primary_semantic_capture,3,2,0.8113207547169812,False,False,True,0.18867924528301888,1.0
M0:132:2,132,M0,2,primary_semantic_capture,1,0,0.8490566037735849,False,False,True,0.22641509433962265,1.0
M0:132:3,132,M0,3,primary_semantic_capture,20,19,1.2452830188679245,True,False,True,0.18867924528301888,1.0
M0:132:6,132,M0,6,primary_semantic_capture,1,0,0.5849056603773585,False,False,True,0.18867924528301888,1.0
M0:134:0,134,M0,0,primary_semantic_capture,3,2,0.9375,False,False,True,0.25,1.0
M0:134:3,134,M0,3,primary_semantic_capture,28,27,1.203125,True,False,True,0.09375,1.0
M0:134:5,134,M0,5,primary_semantic_capture,1,0,0.96875,False,False,True,0.453125,1.0
M0:134:6,134,M0,6,primary_semantic_capture,8,7,0.796875,False,False,True,0.3125,1.0
M0:134:7,134,M0,7,primary_semantic_capture,9,8,0.796875,False,False,True,0.390625,1.0
M0:137:3,137,M0,3,primary_semantic_capture,1,0,0.7608695652173914,False,False,True,0.2391304347826087,1.0
M0:138:3,138,M0,3,primary_semantic_capture,15,14,0.9397590361445783,False,False,True,0.18072289156626506,1.0
M0:144:1,144,M0,1,primary_semantic_capture,2,1,2.024390243902439,True,True,True,0.5853658536585366,1.0
M0:147:0,147,M0,0,primary_semantic_capture,44,43,1.851063829787234,True,True,True,0.3829787234042553,1.0
M0:151:4,151,M0,4,primary_semantic_capture,17,16,1.9428571428571428,True,True,True,0.5142857142857142,1.0
M0:153:0,153,M0,0,primary_semantic_capture,19,18,0.7448979591836735,False,False,True,0.12244897959183673,1.0
M0:153:3,153,M0,3,primary_semantic_capture,18,17,0.8469387755102041,False,False,True,0.15306122448979592,1.0
M0:154:3,154,M0,3,primary_semantic_capture,3,2,1.2337662337662338,True,False,True,0.35064935064935066,1.0
M0:154:4,154,M0,4,primary_semantic_capture,1,0,0.8181818181818182,False,False,True,0.2857142857142857,1.0
M0:154:5,154,M0,5,primary_semantic_capture,91,90,2.311688311688312,True,True,True,0.3116883116883117,1.0
M0:154:7,154,M0,7,primary_semantic_capture,38,37,1.4415584415584415,True,True,True,0.06493506493506493,1.0
M0:155:5,155,M0,5,primary_semantic_capture,40,39,1.4246575342465753,True,True,True,0.3150684931506849,1.0
M0:155:7,155,M0,7,primary_semantic_capture,3,2,0.8082191780821918,False,False,True,0.273972602739726,1.0
M0:155:7,155,M0,7,legacy_aligned_capture,3,2,0.8082191780821918,False,False,True,0.273972602739726,1.0
M0:160:1,160,M0,1,primary_semantic_capture,37,36,1.5535714285714286,True,True,True,0.07142857142857142,1.0
M0:160:2,160,M0,2,primary_semantic_capture,1,0,0.8392857142857143,False,False,True,0.08928571428571429,1.0
M0:160:3,160,M0,3,primary_semantic_capture,18,17,1.2321428571428572,True,False,True,0.08928571428571429,1.0
M0:160:5,160,M0,5,primary_semantic_capture,23,22,1.0,True,False,True,0.017857142857142856,1.0
M0:160:7,160,M0,7,primary_semantic_capture,2,1,1.0714285714285714,True,False,True,0.14285714285714285,1.0
M0:161:3,161,M0,3,primary_semantic_capture,18,17,1.6862745098039216,True,True,True,0.3137254901960784,1.0
M0:161:5,161,M0,5,primary_semantic_capture,22,21,2.4901960784313726,True,True,True,0.37254901960784315,1.0
M0:162:6,162,M0,6,primary_semantic_capture,45,44,2.0285714285714285,True,True,True,0.02857142857142857,1.0
M0:163:0,163,M0,0,primary_semantic_capture,22,21,0.5567010309278351,False,False,True,0.18556701030927836,1.0
M0:163:2,163,M0,2,primary_semantic_capture,9,8,0.8041237113402062,False,False,True,0.13402061855670103,1.0
M0:163:5,163,M0,5,primary_semantic_capture,1,0,0.6288659793814433,False,False,True,0.13402061855670103,1.0
M0:163:6,163,M0,6,primary_semantic_capture,4,3,0.5154639175257731,False,False,True,0.16494845360824742,1.0
M0:164:6,164,M0,6,primary_semantic_capture,40,39,1.7878787878787878,True,True,True,0.2727272727272727,1.0
M0:167:0,167,M0,0,primary_semantic_capture,4,3,1.558139534883721,True,True,True,0.13953488372093023,1.0
M0:167:3,167,M0,3,primary_semantic_capture,4,3,1.0232558139534884,True,False,True,0.20930232558139536,1.0
M0:167:4,167,M0,4,primary_semantic_capture,5,4,1.813953488372093,True,True,True,0.23255813953488372,1.0
M0:170:6,170,M0,6,primary_semantic_capture,59,58,1.462686567164179,True,True,True,0.1791044776119403,1.0
M0:170:7,170,M0,7,primary_semantic_capture,1,0,0.5671641791044776,False,False,True,0.14925373134328357,1.0
M0:171:1,171,M0,1,primary_semantic_capture,16,15,1.6031746031746033,True,True,True,0.3333333333333333,1.0
M0:175:5,175,M0,5,primary_semantic_capture,4,3,1.3214285714285714,True,True,True,0.5178571428571429,1.0
M0:177:7,177,M0,7,primary_semantic_capture,1,0,0.6764705882352942,False,False,True,0.2647058823529412,1.0
M0:177:7,177,M0,7,legacy_aligned_capture,1,0,0.6764705882352942,False,False,True,0.2647058823529412,1.0
M0:178:6,178,M0,6,primary_semantic_capture,4,3,0.6811594202898551,False,False,True,0.21739130434782608,1.0
M0:185:0,185,M0,0,primary_semantic_capture,6,5,7.375,True,True,True,0.25,1.0
M0:188:6,188,M0,6,primary_semantic_capture,22,21,1.6136363636363635,True,True,True,0.4318181818181818,1.0
M0:190:4,190,M0,4,primary_semantic_capture,8,7,1.161764705882353,True,False,True,0.22058823529411764,1.0
M0:193:2,193,M0,2,primary_semantic_capture,13,12,1.0804597701149425,True,False,True,0.3448275862068966,1.0
M0:196:1,196,M0,1,primary_semantic_capture,10,9,1.6341463414634145,True,True,True,0.34146341463414637,1.0
M0:196:5,196,M0,5,primary_semantic_capture,2,1,1.7804878048780488,True,True,True,0.36585365853658536,1.0
M0:202:2,202,M0,2,primary_semantic_capture,16,15,0.9534883720930233,False,False,True,0.38372093023255816,1.0
M0:202:3,202,M0,3,primary_semantic_capture,4,3,0.872093023255814,False,False,True,0.3023255813953488,1.0
M0:204:3,204,M0,3,primary_semantic_capture,21,20,0.8518518518518519,False,False,True,0.12037037037037036,1.0
M0:204:3,204,M0,3,legacy_aligned_capture,21,20,0.8518518518518519,False,False,True,0.12037037037037036,1.0
M0:204:5,204,M0,5,primary_semantic_capture,40,39,1.3333333333333333,True,True,True,0.3055555555555556,1.0
M0:204:6,204,M0,6,primary_semantic_capture,7,6,0.8981481481481481,False,False,True,0.25,1.0
M0:216:3,216,M0,3,primary_semantic_capture,41,40,1.4857142857142858,True,True,True,0.24285714285714285,1.0
M0:216:7,216,M0,7,primary_semantic_capture,21,20,1.2285714285714286,True,False,True,0.2714285714285714,1.0
M0:218:3,218,M0,3,primary_semantic_capture,3,2,1.5,True,True,True,0.2,1.0
M0:218:4,218,M0,4,primary_semantic_capture,3,2,1.36,True,True,True,0.2,1.0
M0:228:6,228,M0,6,primary_semantic_capture,1,0,0.6744186046511628,False,False,True,0.16279069767441862,1.0
M0:229:4,229,M0,4,primary_semantic_capture,27,26,1.3421052631578947,True,True,True,0.4473684210526316,1.0
M0:231:0,231,M0,0,primary_semantic_capture,12,11,1.3214285714285714,True,True,True,0.48214285714285715,1.0
M0:231:2,231,M0,2,primary_semantic_capture,20,19,1.375,True,True,True,0.5357142857142857,1.0
M0:231:3,231,M0,3,primary_semantic_capture,26,25,1.4285714285714286,True,True,True,0.5357142857142857,1.0
M0:231:4,231,M0,4,primary_semantic_capture,28,27,1.5178571428571428,True,True,True,0.5535714285714286,1.0
M0:232:1,232,M0,1,primary_semantic_capture,29,28,1.2696629213483146,True,True,True,0.3146067415730337,1.0
M0:238:0,238,M0,0,primary_semantic_capture,15,14,1.9285714285714286,True,True,True,0.30952380952380953,1.0
M0:238:7,238,M0,7,primary_semantic_capture,1,0,1.4761904761904763,True,True,True,0.09523809523809523,1.0
M0:250:5,250,M0,5,primary_semantic_capture,83,82,2.0588235294117645,True,True,True,0.1323529411764706,1.0
M0:252:3,252,M0,3,primary_semantic_capture,3,2,1.7567567567567568,True,True,True,0.28378378378378377,1.0
