episode_variant,capture_kind,kmax,pooled_hazard_diff,pooled_hazard_ci_low,pooled_hazard_ci_high,propensity_component,propensity_ci_low,propensity_ci_high,exposure_component,exposure_ci_low,exposure_ci_high,decomposition_total,raw_cif_diff,k_pool
lineage,primary,145,0.031300415527358114,0.02919976154465628,0.03354496083946487,0.158357768400536,0.14665498899231424,0.17004725690194236,0.1904281605906203,0.17923946745444833,0.20265925028526746,0.3487859289911563,0.3487348670299781,56
lineage,legacy,541,0.007870799765074377,0.0067822686793740745,0.008999954779309724,0.1314776916612638,0.11731196590576956,0.14535853450158354,0.08841021406158764,0.08024264898836199,0.09707576679788221,0.21988790572285144,0.21988790572285138,192
contiguous,primary,84,0.07336741862012054,0.0687804380783819,0.07808768426804955,0.18712020545063615,0.17423709069283505,0.20048264428471807,0.16146384897104468,0.15136316131056038,0.17085232482117016,0.34858405442168083,0.34847258734381237,16
contiguous,legacy,84,0.035926397589154835,0.03293390740444643,0.039008442727183436,0.1579660637844968,0.14337813039777766,0.17281785386743892,0.07788901913781533,0.07011495693787272,0.08663595371297059,0.2358550829223121,0.23586804015299842,16
