episode_variant,capture_kind,model,episode_ordinal,gap_at_risk,gap_stop_events,gap_censored,gap_stop_hazard,episodes_started,capture_events,inepisode_stop_events,inepisode_censored,capture_hazard_given_episode,capture_cif_after_episode,stop_cif_after_episode,event_free_survival
lineage,primary,M0,1,8848,759,3,0.08578209764918626,8086,229,158,0,0.028320554044026714,0.025891157511542955,0.10364586571391896,0.870462976774538
lineage,primary,M0,2,7699,519,3,0.06741135212365242,7177,207,199,0,0.028842134596628117,0.049304737745773625,0.18483365952004346,0.7658616027341828
lineage,primary,M0,3,6771,430,0,0.06350612907989957,6341,200,208,0,0.03154076644062451,0.07192655439720422,0.2569972546381071,0.6710761909646886
lineage,primary,M0,4,5933,322,0,0.054272711950109555,5611,167,215,0,0.029762965603279273,0.09081577130114876,0.31773683234719824,0.591447396351653
lineage,primary,M0,5,5229,222,0,0.042455536431440045,5007,142,220,0,0.02836029558617935,0.10687726112366448,0.3677310471468599,0.5253916917294756
lineage,primary,M0,6,4645,188,0,0.040473627556512376,4457,119,193,0,0.026699573704285395,0.1203372420312657,0.4108256078678352,0.4688371501008991
lineage,primary,M0,7,4145,170,0,0.04101326899879373,3975,95,203,0,0.02389937106918239,0.13108260494069524,0.45301529592275325,0.4159020991365515
lineage,primary,M0,8,3677,132,0,0.03589883056839815,3545,99,183,0,0.027926657263751764,0.14228040418315338,0.48864465714875643,0.36907493866809016
lineage,primary,M0,9,3263,121,0,0.03708243947287772,3142,83,142,0,0.026416295353278166,0.15166845809349708,0.5183923460453878,0.32993919586111525
lineage,primary,M0,10,2917,80,0,0.027425437092903668,2837,79,127,0,0.02784631653154741,0.16060407567081217,0.5418059262796184,0.2975899980495695
lineage,primary,M0,11,2631,67,0,0.025465602432535157,2564,74,143,0,0.028861154446177848,0.1689741478318415,0.5655588337636206,0.26546701840453807
lineage,primary,M0,12,2347,47,0,0.020025564550489986,2300,75,109,0,0.03260869565217391,0.177457329076128,0.5832038507517364,0.23933882017213573
lineage,primary,M0,13,2116,34,0,0.01606805293005671,2082,64,97,0,0.03073967339097022,0.18469631040458578,0.5980211406584235,0.2172825489369909
lineage,primary,M0,14,1921,40,0,0.020822488287350338,1881,49,106,0,0.026049973418394472,0.19023865548418628,0.6145350668139679,0.19522627770184606
lineage,primary,M0,15,1726,34,0,0.019698725376593278,1692,48,99,1,0.028368794326241134,0.19566789148052963,0.6295785748871692,0.17475353363230137
lineage,primary,M0,16,1544,27,0,0.017487046632124352,1517,49,86,0,0.032300593276203035,0.20121382616186562,0.6423681793563726,0.156417994481762
lineage,primary,M0,17,1382,20,0,0.01447178002894356,1362,34,68,0,0.024963289280469897,0.20506202573667018,0.6523282253146904,0.14260974894863973
lineage,primary,M0,18,1260,20,0,0.015873015873015872,1240,26,65,0,0.020967741935483872,0.20800476658799133,0.6619487242517018,0.1300465091603072
lineage,primary,M0,19,1149,20,0,0.017406440382941687,1129,31,65,0,0.02745792736935341,0.2115134191414896,0.6715692231887133,0.1169173576697975
lineage,primary,M0,20,1033,8,0,0.007744433688286544,1025,26,43,0,0.025365853658536587,0.21445615999281073,0.6773415225509202,0.1082023174562695
lineage,primary,M0,21,956,10,0,0.010460251046025104,946,19,39,0,0.0200845665961945,0.21660662446108386,0.6828874572322561,0.10050591830666036
lineage,primary,M0,22,888,12,0,0.013513513513513514,876,26,25,0,0.02968036529680365,0.219549365312405,0.687075203828367,0.09337543085922838
lineage,primary,M0,23,825,8,0,0.009696969696969697,817,16,51,0,0.019583843329253364,0.22136028275937183,0.6937529619140572,0.08488675532657125
lineage,primary,M0,24,750,8,0,0.010666666666666666,742,25,42,0,0.03369272237196765,0.22418984127025754,0.6994120789358287,0.07639807979391414
lineage,primary,M0,25,675,5,0,0.007407407407407408,670,17,26,0,0.025373134328358207,0.22611394105765983,0.702920731489327,0.07096532745301358
lineage,primary,M0,26,627,1,0,0.001594896331738437,626,20,29,0,0.03194888178913738,0.22837758786636841,0.7063162017023898,0.06530621043124216
lineage,primary,M0,27,577,7,0,0.012131715771230503,570,15,29,0,0.02631578947368421,0.23007532297289984,0.7103907659580653,0.05953391106903531
lineage,primary,M0,28,526,3,0,0.005703422053231939,523,15,29,0,0.028680688336520075,0.23177305807943127,0.7140126008519989,0.05421434106857017
lineage,primary,M0,29,479,3,0,0.006263048016701462,476,16,27,0,0.03361344537815126,0.23358397552639812,0.7174080710650617,0.049007953408540465
lineage,primary,M0,30,433,2,0,0.004618937644341801,431,15,14,0,0.03480278422273782,0.23528171063292955,0.7192189885120286,0.04549930085504218
lineage,primary,M0,31,402,4,0,0.009950248756218905,398,8,15,0,0.020100502512562814,0.23618716935641298,0.7213694529803016,0.04244337766328562
lineage,primary,M0,32,375,0,0,0.0,375,13,14,0,0.034666666666666665,0.23765853978207355,0.7229540057463977,0.039387454471529054
lineage,primary,M0,33,348,2,0,0.005747126436781609,346,11,12,0,0.031791907514450865,0.23890354552686327,0.7245385585124937,0.03655789596064334
lineage,primary,M0,34,323,0,0,0.0,323,9,15,0,0.02786377708978328,0.23992218659078213,0.7262362936190251,0.033841519790193064
lineage,primary,M0,35,299,0,0,0.0,299,12,21,0,0.04013377926421405,0.24128037467600727,0.728613122768169,0.03010650255582393
lineage,primary,M0,36,266,0,0,0.0,266,12,10,0,0.045112781954887216,0.2426385627612324,0.7297449461725233,0.027616491066244506
lineage,primary,M0,37,244,2,0,0.00819672131147541,242,7,4,0,0.028925619834710745,0.2434308391442804,0.7304240402151359,0.02614512064058394
lineage,primary,M0,38,231,1,0,0.004329004329004329,230,5,7,0,0.021739130434782608,0.24399675084645756,0.7313294989386193,0.024673750214923375
lineage,primary,M0,39,218,0,0,0.0,218,5,10,0,0.022935779816513763,0.2445626625486347,0.7324613223429736,0.02297601510839195
lineage,primary,M0,40,203,1,0,0.0049261083743842365,202,4,4,0,0.019801980198019802,0.2450153919103764,0.7330272340451507,0.021957374044473094
lineage,primary,M0,41,194,1,0,0.005154639175257732,193,11,6,0,0.05699481865284974,0.24626039765516614,0.7338195104281987,0.019920091916635387
lineage,primary,M0,42,176,0,0,0.0,176,7,3,0,0.03977272727272727,0.24705267403821413,0.7341590574495049,0.018788268512281103
lineage,primary,M0,43,166,1,0,0.006024096385542169,165,6,3,0,0.03636363636363636,0.2477317680808267,0.7346117868112466,0.01765644510792682
lineage,primary,M0,44,156,0,0,0.0,156,4,3,0,0.02564102564102564,0.2481844974425684,0.7349513338325528,0.016864168724878822
lineage,primary,M0,45,149,0,0,0.0,149,6,0,0,0.040268456375838924,0.24886359148518097,0.7349513338325528,0.016185074682266255
lineage,primary,M0,46,143,1,0,0.006993006993006993,142,7,5,0,0.04929577464788732,0.24965586786822896,0.7356304278751654,0.014713704256605684
lineage,primary,M0,47,130,0,0,0.0,130,6,2,0,0.046153846153846156,0.25033496191084154,0.7358567925560363,0.013808245533122257
lineage,primary,M0,48,122,0,0,0.0,122,3,4,0,0.02459016393442623,0.2506745089321478,0.736309521917778,0.013015969150074259
lineage,primary,M0,49,115,0,0,0.0,115,4,4,0,0.034782608695652174,0.25112723829388955,0.7367622512795197,0.012110510426590832
lineage,primary,M0,50,107,0,0,0.0,107,3,2,0,0.028037383177570093,0.25146678531519584,0.7369886159603906,0.01154459872441369
lineage,primary,M0,51,102,0,0,0.0,102,5,3,0,0.049019607843137254,0.25203269701737296,0.7373281629816968,0.010639140000930265
lineage,primary,M0,52,94,0,0,0.0,94,4,4,0,0.0425531914893617,0.2524854263791147,0.7377808923434385,0.009733681277446837
lineage,primary,M0,53,86,0,0,0.0,86,2,1,0,0.023255813953488372,0.25271179105998554,0.7378940746838739,0.009394134256140553
lineage,primary,M0,54,83,0,0,0.0,83,5,3,0,0.060240963855421686,0.25327770276216266,0.7382336217051801,0.008488675532657126
lineage,primary,M0,55,75,0,0,0.0,75,2,3,0,0.02666666666666667,0.2535040674430335,0.7385731687264864,0.007922763830479984
lineage,primary,M0,56,70,0,0,0.0,70,2,0,0,0.02857142857142857,0.25373043212390434,0.7385731687264864,0.007696399149609128
lineage,primary,M0,57,68,0,0,0.0,68,2,1,1,0.029411764705882353,0.2539567968047752,0.7386863510669218,0.007356852128302843
lineage,primary,M0,58,64,0,0,0.0,64,1,1,0,0.015625,0.2540717476192799,0.7388013018814266,0.007126950499293379
