episode_variant,capture_kind,model,n_captured,dist_last_new_triple_blocks_median,dist_last_new_triple_blocks_p25,dist_last_new_triple_blocks_p75,episodes_between_last_new_and_capture_median,episodes_between_last_new_and_capture_p75,capture_first_episode_after_last_new_share,n_with_pair_distance,dist_last_new_pair_blocks_median,dist_last_new_pair_blocks_p25,dist_last_new_pair_blocks_p75
lineage,primary,M0,2296,4.0,1.0,12.0,2.0,6.0,0.384581881533101,2296,6.0,1.0,16.0
lineage,primary,M1,5360,4.0,1.0,11.0,2.0,5.0,0.3792910447761194,5360,5.0,1.0,14.0
lineage,legacy,M0,572,2.0,1.0,7.0,1.0,4.0,0.479020979020979,572,3.0,1.0,10.0
lineage,legacy,M1,2017,2.0,1.0,6.0,1.0,4.0,0.48636588993554786,2017,3.0,1.0,9.0
contiguous,primary,M0,2296,1.0,1.0,1.0,0.0,0.0,1.0,2296,1.0,1.0,2.0
contiguous,primary,M1,5360,1.0,1.0,1.0,0.0,0.0,1.0,5360,1.0,1.0,2.0
contiguous,legacy,M0,572,1.0,1.0,1.0,0.0,0.0,1.0,572,1.0,1.0,2.0
contiguous,legacy,M1,2017,1.0,1.0,1.0,0.0,0.0,1.0,2017,1.0,1.0,2.0
