episode_variant,capture_kind,scope,metric,m0,m1,diff_or_value,ci_low,ci_high,n_m0,n_m1,direction
lineage,primary,slot,pooled_capture_hazard,0.014928112572652186,0.04851715415824944,0.03358904158559725,0.03088351332686798,0.036400419448166965,nan,nan,UP
lineage,primary,slot,pooled_gap_stop_hazard,0.15153874098292594,0.05548521516147127,-0.09605352582145467,-0.10389844527909141,-0.08906108002454247,nan,nan,DOWN
lineage,primary,slot,pooled_inepisode_stop_hazard,0.07684307127561946,0.042337922487989545,-0.03450514878762991,-0.037785071296687865,-0.031539947481608654,nan,nan,DOWN
lineage,primary,slot,cif_capture_final,0.05522343717257757,0.3244059442155693,0.26918250704299174,0.2524872822584027,0.286461894108622,nan,nan,UP
lineage,primary,slot,cif_stop_final,0.9447765628274232,0.6755940557844303,-0.26918250704299285,-0.28646189410862155,-0.2524872822584032,nan,nan,DOWN
lineage,primary,slot,propensity_component,nan,nan,0.14174243396917152,0.12797363882816554,0.1560040738972441,nan,nan,UP
lineage,primary,slot,exposure_component,nan,nan,0.1273924602170177,0.11837609874552096,0.13705249946661124,nan,nan,UP
lineage,primary,slot,decomposition_total,nan,nan,0.26913489418618924,0.2524977058865255,0.2864155493386335,nan,nan,UP
lineage,primary,slot,identity_error,nan,nan,-5.551115123125783e-17,-5.551115123125783e-17,5.551115123125783e-17,nan,nan,UNRESOLVED
lineage,primary,slot,raw_cif_diff,nan,nan,0.26918250704299174,0.2524872822584027,0.286461894108622,nan,nan,UP
lineage,primary,slot,hazard_k1,0.012316806984720922,0.02991613468519214,0.017599327700471217,0.013059175770723288,0.022512811245315918,nan,nan,UP
lineage,primary,slot,hazard_k2,0.011129431162407255,0.043347639484978544,0.03221820832257129,0.026329207368969976,0.03801309369184086,nan,nan,UP
lineage,primary,slot,hazard_k3,0.01718830169317599,0.050970075633015456,0.03378177393983947,0.026531910895697543,0.040612573247431706,nan,nan,UP
lineage,primary,slot,hazard_k4,0.014790996784565916,0.0539767308792676,0.03918573409470168,0.03138464889615472,0.04722400089731322,nan,nan,UP
lineage,primary,slot,hazard_k5,0.016205533596837945,0.056381798002219756,0.040176264405381815,0.031044348489225274,0.04862226544827346,nan,nan,UP
lineage,primary,slot,hazard_k6,0.016417189763399325,0.0578108941418294,0.04139370437843007,0.03235671504160336,0.05062096633966763,nan,nan,UP
lineage,primary,slot,hazard_k7,0.019744483159117306,0.06193895870736086,0.04219447554824356,0.03178579218957251,0.05306676945955254,nan,nan,UP
lineage,primary,slot,hazard_k8,0.015239477503628448,0.04869565217391304,0.0334561746702846,0.023386801443672067,0.0437696550548721,nan,nan,UP
lineage,primary,slot,hazard_k9plus_pooled,0.016679076693968727,0.04986380565901384,0.03318472896504511,0.02824760050250671,0.03817956048479598,nan,nan,UP
lineage,primary,slot,cif_capture_at_k1,0.008938315737894784,0.027042184133382316,0.018103868395487534,0.014244904874190797,0.022301821951205746,nan,nan,UP
lineage,primary,slot,cif_capture_at_k2,0.01504930976594581,0.061345408617941494,0.04629609885199568,0.03997129288181764,0.052839180864924194,nan,nan,UP
lineage,primary,slot,cif_capture_at_k3,0.022631469022972084,0.0964580455338318,0.07382657651085972,0.0658364982121772,0.08188099606744681,nan,nan,UP
lineage,primary,slot,cif_capture_at_k5,0.03247695940149874,0.1573586774870844,0.12488171808558567,0.11422317958380794,0.13608511996722805,nan,nan,UP
lineage,primary,slot,cif_capture_at_k8,0.04254878289217543,0.2223069317554407,0.17975814886326527,0.16667957372434042,0.19343123724434097,nan,nan,UP
lineage,primary,response,capture_rate,0.05515370705244123,0.32301084990958406,0.26785714285714285,0.2513562386980109,0.2851491862567812,8848,8848,UP
lineage,primary,response,stop_rate,0.9439421338155516,0.6731464737793852,-0.2707956600361664,-0.2880877034358047,-0.2542947558770343,8848,8848,DOWN
lineage,primary,response,censor_rate,0.0009041591320072332,0.0038426763110307413,0.002938517179023508,0.0012432188065099458,0.004633815551537071,8848,8848,UP
lineage,primary,response,stable_orbit_rate,0.00599005424954792,0.07041139240506329,0.06442133815551537,0.057527124773960214,0.07142857142857144,8848,8848,UP
lineage,primary,response,mean_episodes_experienced,3.694620253164557,6.657662748643761,2.9630424954792045,2.7780261075949366,3.1560889466546116,8848,8848,UP
lineage,primary,response,zero_episode_rate,0.2750904159132007,0.09708408679927667,-0.17800632911392406,-0.19134267631103075,-0.16534810126582278,8848,8848,DOWN
lineage,primary,response,mean_reuse_blocks,12.575384267631103,105.36708860759494,92.79170433996383,86.62405345840868,99.27381611663652,8848,8848,UP
lineage,primary,response,captured_episode_ordinal_mean,5.870901639344262,7.433170048985304,1.5622684096410424,1.0164666306461767,2.099047100116408,488,2858,UP
lineage,primary,response,recovered_before_capture_mean,4.870901639344262,6.433170048985304,1.5622684096410424,1.0164666306461767,2.099047100116408,488,2858,UP
lineage,primary,response,capture_in_first_episode_rate,0.16188524590163936,0.08362491252624213,-0.07826033337539723,-0.1116894090226344,-0.04458429526437691,488,2858,DOWN
lineage,primary,response,orbit_given_captured,0.10655737704918032,0.21763470958712386,0.11107733253794354,0.07470266899281518,0.1451793859325917,488,2858,UP
lineage,primary,response,orbit_given_uncaptured,0.00011961722488038278,0.0001669449081803005,4.732768329991772e-05,-0.00035769750130883795,0.0005008347245409015,8360,5990,UNRESOLVED
lineage,primary,response,stop_in_episode_share,0.3004784688995215,0.41769616026711187,0.11721769136759036,0.09966221926129903,0.13513388453354738,8360,5990,UP
