episode_variant,capture_kind,component,value,ci_low,ci_high,share_of_total,direction
lineage,primary,propensity_component,-0.015471959780082072,-0.02226965969701005,-0.008741951835216722,-6.953610494425601,DOWN
lineage,primary,exposure_component,0.017696985152510575,0.015331338499984973,0.020235361983864223,7.953610494425601,UP
lineage,primary,decomposition_total,0.0022250253724285032,-0.004208045767515882,0.008723700981575197,1.0,UNRESOLVED
lineage,primary,raw_cif_diff,0.0022293048808668114,-0.004204661630065575,0.008729163158707625,1.0019233526463733,UNRESOLVED
lineage,primary,identity_error,0.0,0.0,0.0,0.0,UNRESOLVED
lineage,legacy,propensity_component,0.0004855469014015362,-0.001822276493779596,0.0027829928920909334,0.18710371211176935,UNRESOLVED
lineage,legacy,exposure_component,0.0021095213413465665,0.0015645154639750795,0.002742105658264123,0.8128962878882307,UP
lineage,legacy,decomposition_total,0.0025950682427481027,0.00033348452584614136,0.0048585101110139375,1.0,UP
lineage,legacy,raw_cif_diff,0.0025950682427481027,0.00033348452584614136,0.004858510111013937,1.0,UP
lineage,legacy,identity_error,0.0,0.0,0.0,0.0,UNRESOLVED
contiguous,primary,propensity_component,-0.01577433749513835,-0.022555459698278428,-0.009205178126530277,-7.0827579974817025,DOWN
contiguous,primary,exposure_component,0.01800148368603559,0.015795539659065938,0.020415569646059038,8.082757997481703,UP
contiguous,primary,decomposition_total,0.0022271461908972418,-0.004341539238861598,0.008584640067273904,1.0,UNRESOLVED
contiguous,primary,raw_cif_diff,0.002229053874284362,-0.004340653001037333,0.008585695705798122,1.0008565595715797,UNRESOLVED
contiguous,primary,identity_error,0.0,0.0,0.0,0.0,UNRESOLVED
contiguous,legacy,propensity_component,0.00035482199957866415,-0.0019707112781329915,0.0026333722965019694,0.13683600016602976,UNRESOLVED
contiguous,legacy,exposure_component,0.00223822368392671,0.0016443251497458868,0.0028704829306647915,0.8631639998339702,UP
contiguous,legacy,decomposition_total,0.0025930456835053742,0.0003324416250899009,0.004866509737695585,1.0,UP
contiguous,legacy,raw_cif_diff,0.0025930456835053742,0.00033244162508990085,0.004866509737695586,1.0,UP
contiguous,legacy,identity_error,0.0,0.0,0.0,0.0,UNRESOLVED
