episode_variant,capture_kind,model,n_captured,dist_last_new_triple_blocks_median,dist_last_new_triple_blocks_p25,dist_last_new_triple_blocks_p75,episodes_between_last_new_and_capture_median,episodes_between_last_new_and_capture_p75,capture_first_episode_after_last_new_share,n_with_pair_distance,dist_last_new_pair_blocks_median,dist_last_new_pair_blocks_p25,dist_last_new_pair_blocks_p75
lineage,primary,M0,488,1.0,1.0,5.0,0.0,2.0,0.514344262295082,488,3.0,1.0,8.0
lineage,primary,M1,508,1.0,1.0,4.0,0.0,2.0,0.5767716535433071,508,3.0,1.0,7.0
lineage,legacy,M0,52,1.0,1.0,2.0,0.0,1.0,0.7307692307692307,52,1.0,1.0,3.0
lineage,legacy,M1,75,1.0,1.0,2.0,0.0,1.0,0.7333333333333333,75,1.0,1.0,4.0
contiguous,primary,M0,488,1.0,1.0,1.0,0.0,0.0,1.0,488,1.0,1.0,2.0
contiguous,primary,M1,508,1.0,1.0,1.0,0.0,0.0,1.0,508,1.0,1.0,2.25
contiguous,legacy,M0,52,1.0,1.0,1.0,0.0,0.0,1.0,52,1.0,1.0,1.25
contiguous,legacy,M1,75,1.0,1.0,1.0,0.0,0.0,1.0,75,1.0,1.0,1.0
