episode_variant,capture_kind,model,episode_ordinal,gap_at_risk,gap_stop_events,gap_censored,gap_stop_hazard,episodes_started,capture_events,inepisode_stop_events,inepisode_censored,capture_hazard_given_episode,capture_cif_after_episode,stop_cif_after_episode,event_free_survival
lineage,primary,M0,1,8848,2362,2,0.26695298372513565,6484,84,298,0,0.012954966070326958,0.00949659922379528,0.3006433000190761,0.6898601007571287
lineage,primary,M0,2,6102,1300,0,0.21304490331039003,4802,52,308,0,0.010828821324448146,0.015375446362335217,0.48243534230315716,0.5021892113345077
lineage,primary,M0,3,4442,716,0,0.16118865375956776,3726,42,280,0,0.011272141706924315,0.02012374597423286,0.5950378759567297,0.3848383780690374
lineage,primary,M0,4,3404,420,0,0.12338425381903642,2984,47,266,0,0.015750670241286863,0.025437319349451648,0.6725934362843913,0.3019692443661572
lineage,primary,M0,5,2671,289,1,0.10819917633845001,2381,34,233,0,0.014279714405711887,0.029282795329615707,0.7316190804919486,0.23909812417843593
lineage,primary,M0,6,2114,210,0,0.09933774834437085,1904,30,200,0,0.015756302521008403,0.032675862370936934,0.7779909967233387,0.18933314090572456
lineage,primary,M0,7,1674,122,0,0.07287933094384708,1552,18,156,0,0.011597938144329897,0.03471170259572967,0.8094334179729155,0.1558548794313551
lineage,primary,M0,8,1378,115,0,0.08345428156748912,1263,24,115,0,0.019002375296912115,0.03742615622878665,0.8354469319563782,0.12712691181483537
lineage,primary,M0,9,1124,81,0,0.07206405693950178,1043,12,145,0,0.011505273250239693,0.038783383045315145,0.8610080370009981,0.10020857995368695
lineage,primary,M0,10,886,59,0,0.06659142212189616,827,11,107,0,0.013301088270858524,0.040027507627132926,0.8797830079629756,0.08018948440989171
lineage,primary,M0,11,709,36,0,0.05077574047954866,673,5,75,0,0.007429420505200594,0.04059301880068646,0.8923373560158642,0.06706962518344962
lineage,primary,M0,12,593,38,0,0.06408094435075885,555,4,69,0,0.007207207207207207,0.041045427739529294,0.9044392951299098,0.054515277130561084
lineage,primary,M0,13,482,22,0,0.04564315352697095,460,5,55,0,0.010869565217391304,0.04161093891308283,0.9131481672026343,0.045240893884283054
lineage,primary,M0,14,400,15,0,0.0375,385,7,38,0,0.01818181818181818,0.04240265455605779,0.9191425856423017,0.0384547598016406
lineage,primary,M0,15,340,14,0,0.041176470588235294,326,3,46,0,0.009202453987730062,0.04274196126018991,0.9259287197249442,0.03132931901486602
lineage,primary,M0,16,277,12,0,0.04332129963898917,265,2,36,0,0.007547169811320755,0.042968165729611325,0.9313576269910582,0.02567420727933064
lineage,primary,M0,17,227,6,0,0.02643171806167401,221,4,34,0,0.01809954751131222,0.04342057466845416,0.9358817163794865,0.0206977089520595
lineage,primary,M0,18,183,11,0,0.060109289617486336,172,0,23,0,0.0,0.04342057466845416,0.9397271923596505,0.016852232971895437
lineage,primary,M0,19,149,4,0,0.026845637583892617,145,3,16,0,0.020689655172413793,0.04375988137258628,0.9419892370538646,0.014250881573549161
lineage,primary,M0,20,126,5,0,0.03968253968253968,121,0,25,0,0.0,0.04375988137258628,0.9453823040951859,0.010857814532227934
lineage,primary,M0,21,96,5,0,0.052083333333333336,91,0,8,0,0.0,0.04375988137258628,0.9468526331464251,0.009387485480988734
lineage,primary,M0,22,83,6,0,0.07228915662650602,77,0,8,0,0.0,0.04375988137258628,0.948436064432375,0.0078040541950388275
lineage,primary,M0,23,69,4,0,0.057971014492753624,65,1,4,0,0.015384615384615385,0.04387298360729699,0.9493408823100606,0.006786134082642458
lineage,primary,M0,24,60,4,0,0.06666666666666667,56,0,6,0,0.0,0.04387298360729699,0.9504719046571677,0.005655111735535383
lineage,primary,M0,25,50,1,0,0.02,49,0,9,0,0.0,0.04387298360729699,0.9516029270042747,0.004524089388428306
lineage,primary,M0,26,40,2,0,0.05,38,0,5,0,0.0,0.04387298360729699,0.9523946426472497,0.0037323737454533525
lineage,primary,M0,27,33,0,0,0.0,33,0,6,0,0.0,0.04387298360729699,0.953073256055514,0.0030537603371891065
lineage,primary,M0,28,27,0,0,0.0,27,0,6,0,0.0,0.04387298360729699,0.9537518694637782,0.0023751469289248605
lineage,primary,M0,29,21,1,0,0.047619047619047616,20,0,3,0,0.0,0.04387298360729699,0.954204278402621,0.0019227379900820297
lineage,primary,M0,30,17,0,0,0.0,17,1,6,0,0.058823529411764705,0.043986085842007694,0.9548828918108853,0.0011310223471070761
lineage,primary,M0,31,10,0,0,0.0,10,0,2,0,0.0,0.043986085842007694,0.9551090962803067,0.000904817877685661
lineage,primary,M0,32,8,0,0,0.0,8,0,2,0,0.0,0.043986085842007694,0.9553353007497282,0.0006786134082642458
lineage,primary,M0,33,6,0,0,0.0,6,0,0,0,0.0,0.043986085842007694,0.9553353007497282,0.0006786134082642458
lineage,primary,M0,34,6,0,0,0.0,6,0,0,0,0.0,0.043986085842007694,0.9553353007497282,0.0006786134082642458
lineage,primary,M0,35,6,0,0,0.0,6,0,1,0,0.0,0.043986085842007694,0.9554484029844389,0.0005655111735535382
lineage,primary,M0,36,5,0,0,0.0,5,0,1,0,0.0,0.043986085842007694,0.9555615052191496,0.0004524089388428306
lineage,primary,M0,37,4,0,0,0.0,4,0,0,0,0.0,0.043986085842007694,0.9555615052191496,0.0004524089388428306
lineage,primary,M0,38,4,0,0,0.0,4,0,0,0,0.0,0.043986085842007694,0.9555615052191496,0.0004524089388428306
lineage,primary,M0,39,4,0,0,0.0,4,0,0,0,0.0,0.043986085842007694,0.9555615052191496,0.0004524089388428306
lineage,primary,M0,40,4,0,0,0.0,4,0,0,0,0.0,0.043986085842007694,0.9555615052191496,0.0004524089388428306
lineage,primary,M0,41,4,0,0,0.0,4,0,0,0,0.0,0.043986085842007694,0.9555615052191496,0.0004524089388428306
lineage,primary,M0,42,4,0,0,0.0,4,0,0,0,0.0,0.043986085842007694,0.9555615052191496,0.0004524089388428306
lineage,primary,M0,43,4,0,0,0.0,4,0,1,0,0.0,0.043986085842007694,0.9556746074538603,0.00033930670413212294
lineage,primary,M0,44,3,0,0,0.0,3,0,1,0,0.0,0.043986085842007694,0.9557877096885711,0.00022620446942141532
lineage,primary,M0,45,2,0,0,0.0,2,0,1,0,0.0,0.043986085842007694,0.9559008119232818,0.00011310223471070766
lineage,primary,M0,46,1,0,0,0.0,1,0,0,0,0.0,0.043986085842007694,0.9559008119232818,0.00011310223471070766
lineage,primary,M0,47,1,0,0,0.0,1,0,1,0,0.0,0.043986085842007694,0.9560139141579925,0.0
lineage,primary,M0,48,0,0,0,0.0,0,0,0,0,0.0,0.043986085842007694,0.9560139141579925,0.0
lineage,primary,M0,49,0,0,0,0.0,0,0,0,0,0.0,0.043986085842007694,0.9560139141579925,0.0
lineage,primary,M0,50,0,0,0,0.0,0,0,0,0,0.0,0.043986085842007694,0.9560139141579925,0.0
lineage,primary,M0,51,0,0,0,0.0,0,0,0,0,0.0,0.043986085842007694,0.9560139141579925,0.0
lineage,primary,M0,52,0,0,0,0.0,0,0,0,0,0.0,0.043986085842007694,0.9560139141579925,0.0
lineage,primary,M0,53,0,0,0,0.0,0,0,0,0,0.0,0.043986085842007694,0.9560139141579925,0.0
lineage,primary,M0,54,0,0,0,0.0,0,0,0,0,0.0,0.043986085842007694,0.9560139141579925,0.0
lineage,primary,M0,55,0,0,0,0.0,0,0,0,0,0.0,0.043986085842007694,0.9560139141579925,0.0
lineage,primary,M0,56,0,0,0,0.0,0,0,0,0,0.0,0.043986085842007694,0.9560139141579925,0.0
lineage,primary,M0,57,0,0,0,0.0,0,0,0,0,0.0,0.043986085842007694,0.9560139141579925,0.0
lineage,primary,M0,58,0,0,0,0.0,0,0,0,0,0.0,0.043986085842007694,0.9560139141579925,0.0
lineage,primary,M0,59,0,0,0,0.0,0,0,0,0,0.0,0.043986085842007694,0.9560139141579925,0.0
lineage,primary,M0,60,0,0,0,0.0,0,0,0,0,0.0,0.043986085842007694,0.9560139141579925,0.0
lineage,primary,M0,61,0,0,0,0.0,0,0,0,0,0.0,0.043986085842007694,0.9560139141579925,0.0
lineage,primary,M1,1,8848,863,16,0.09753616636528029,7969,261,104,0,0.03275191366545363,0.029557417565398647,0.10931383466720158,0.8611287477673998
lineage,primary,M1,2,7604,585,7,0.07693319305628617,7012,310,182,1,0.04420992584141472,0.06469897528165916,0.19619471404086186,0.739106310677479
lineage,primary,M1,3,6519,493,6,0.07562509587360025,6020,309,186,1,0.05132890365448505,0.09976746356191812,0.27319888676678505,0.6270336496712968
lineage,primary,M1,4,5524,307,1,0.0555756698044895,5216,317,194,0,0.060774539877300617,0.1357572851816407,0.33007201853824997,0.5341706962801094
lineage,primary,M1,5,4705,257,1,0.054622741764080766,4447,248,156,1,0.05576793343827299,0.1639196916159238,0.3769649486509854,0.45911535973309087
lineage,primary,M1,6,4042,163,2,0.04032657100445324,3877,242,172,0,0.062419396440546816,0.1914217283459362,0.4150263989431835,0.3935518727108803
lineage,primary,M1,7,3463,147,0,0.042448743863701996,3316,207,146,0,0.06242460796139928,0.21494619778028567,0.44832431944687623,0.3367294827728381
lineage,primary,M1,8,2963,115,0,0.03881201484981438,2848,159,166,0,0.055828651685393256,0.2330157177805831,0.48025850259205594,0.286725779627361
lineage,primary,M1,9,2523,90,2,0.0356718192627824,2431,138,117,1,0.05676676264911559,0.24871159989597383,0.5037939110961261,0.2474944890079001
lineage,primary,M1,10,2175,73,1,0.033563218390804596,2101,123,107,0,0.05854355069014755,0.2627145016679897,0.5242820087755742,0.21300348955643628
lineage,primary,M1,11,1871,53,2,0.028327097808658473,1816,87,107,0,0.04790748898678414,0.2726299011955526,0.5425105811756321,0.1848595176288155
lineage,primary,M1,12,1622,44,0,0.027127003699136867,1578,90,72,0,0.057034220532319393,0.2828872110516521,0.5557311138790493,0.16138167506929887
lineage,primary,M1,13,1416,29,1,0.020480225988700564,1386,74,76,0,0.05339105339105339,0.2913270841397581,0.5677042248210664,0.1409686910391757
lineage,primary,M1,14,1236,31,0,0.025080906148867314,1205,50,58,0,0.04149377593360996,0.2970297010911811,0.5778548829945993,0.12511541591421985
lineage,primary,M1,15,1097,30,0,0.027347310847766638,1067,55,75,0,0.05154639175257732,0.3033025797377464,0.5898303785925875,0.10686704166966636
lineage,primary,M1,16,937,31,0,0.033084311632870865,906,24,67,0,0.026490066225165563,0.3060398358744294,0.6010075078173766,0.09295265630819433
lineage,primary,M1,17,815,16,0,0.0196319018404908,799,28,52,0,0.03504380475594493,0.30923330136722627,0.6087630668713118,0.08200363176146223
lineage,primary,M1,18,719,14,0,0.019471488178025034,705,28,45,0,0.03971631205673759,0.31242676686002313,0.6154921548739908,0.07208107826598627
lineage,primary,M1,19,632,16,1,0.02531645569620253,615,33,42,0,0.05365853658536585,0.3161966139295687,0.6221149794778678,0.06168840659256373
lineage,primary,M1,20,540,9,0,0.016666666666666666,531,21,34,0,0.03954802259887006,0.3185956075192795,0.6270272044472757,0.054377188033445066
lineage,primary,M1,21,476,11,0,0.023109243697478993,465,17,36,0,0.03655913978494624,0.32053764994904543,0.6323963805766284,0.0470659694743264
lineage,primary,M1,22,412,7,0,0.01699029126213592,405,21,24,0,0.05185185185185185,0.32293664353875623,0.6359377520662015,0.04112560439504248
lineage,primary,M1,23,360,3,0,0.008333333333333333,357,16,17,0,0.04481792717086835,0.3247644481785359,0.6382225078659262,0.037013043955538234
lineage,primary,M1,24,324,8,0,0.024691358024691357,316,11,15,0,0.03481012658227848,0.3260210638683844,0.6408499770356094,0.033128959096006445
lineage,primary,M1,25,290,3,0,0.010344827586206896,287,10,20,0,0.03484320557491289,0.3271634417682467,0.6434774462052927,0.029359112026460882
lineage,primary,M1,26,257,4,0,0.01556420233463035,253,10,19,0,0.039525691699604744,0.32830581966810896,0.6461049153749759,0.025589264956915322
lineage,primary,M1,27,224,3,0,0.013392857142857142,221,7,14,0,0.03167420814479638,0.32910548419801255,0.6480469578047419,0.022847557997245825
lineage,primary,M1,28,200,5,0,0.025,195,7,15,0,0.035897435897435895,0.32990514872791615,0.6503317136044664,0.01976313766761764
lineage,primary,M1,29,173,2,0,0.011560693641618497,171,7,14,0,0.04093567251461988,0.33070481325781975,0.652159518244246,0.01713566849793437
lineage,primary,M1,30,150,3,0,0.02,147,8,12,0,0.05442176870748299,0.3316187155777096,0.6538730850940395,0.014508199328251103
lineage,primary,M1,31,127,2,0,0.015748031496062992,125,2,4,0,0.016,0.3318471911576821,0.6545585118339569,0.01359429700836127
lineage,primary,M1,32,119,2,0,0.01680672268907563,117,2,10,0,0.017094017094017096,0.33207566673765454,0.6559293653137915,0.01199496794855406
lineage,primary,M1,33,105,1,0,0.009523809523809525,104,4,7,0,0.038461538461538464,0.33253261789759947,0.6568432676336814,0.010624114468719312
lineage,primary,M1,34,93,1,0,0.010752688172043012,92,2,5,1,0.021739130434782608,0.33276109347757193,0.6575286943735987,0.00971021214882948
lineage,primary,M1,35,84,4,0,0.047619047619047616,80,5,7,0,0.0625,0.33333908229595466,0.6588002697740406,0.007860647930004816
lineage,primary,M1,36,68,1,0,0.014705882352941176,67,1,7,0,0.014925373134328358,0.3334546800596312,0.6597250518834529,0.006820268056915944
lineage,primary,M1,37,59,0,0,0.0,59,2,4,0,0.03389830508474576,0.33368587558698426,0.660187442938159,0.006126681474856696
lineage,primary,M1,38,53,0,0,0.0,53,0,6,0,0.0,0.33368587558698426,0.6608810295202182,0.005433094892797447
lineage,primary,M1,39,47,0,0,0.0,47,2,1,0,0.0425531914893617,0.3339170711143373,0.6609966272838947,0.005086301601767824
lineage,primary,M1,40,44,1,0,0.022727272727272728,43,2,3,0,0.046511627906976744,0.3341482666416904,0.6614590183386009,0.004392715019708575
lineage,primary,M1,41,38,0,0,0.0,38,1,4,0,0.02631578947368421,0.33426386440536693,0.661921409393307,0.003814726201325868
lineage,primary,M1,42,33,0,0,0.0,33,2,2,0,0.06060606060606061,0.33449505993272,0.6621526049206601,0.003352335146619702
lineage,primary,M1,43,29,1,0,0.034482758620689655,28,1,1,0,0.03571428571428571,0.33461065769639653,0.6623838004480131,0.0030055418555900784
lineage,primary,M1,44,26,0,0,0.0,26,1,1,0,0.038461538461538464,0.33472625546007306,0.6624993982116897,0.0027743463282369958
lineage,primary,M1,45,24,0,0,0.0,24,2,2,0,0.08333333333333333,0.33495745098742613,0.6627305937390428,0.00231195527353083
lineage,primary,M1,46,20,0,0,0.0,20,1,0,0,0.05,0.33507304875110266,0.6627305937390428,0.0021963575098542885
lineage,primary,M1,47,19,0,0,0.0,19,1,5,0,0.05263157894736842,0.3351886465147792,0.6633085825574254,0.0015027709277950394
lineage,primary,M1,48,13,0,0,0.0,13,0,2,0,0.0,0.3351886465147792,0.6635397780847785,0.0012715754004419563
