episode_variant,capture_kind,component,value,ci_low,ci_high,share_of_total,direction
lineage,primary,propensity_component,0.16270578712865635,0.14808415694183383,0.17698790234508627,0.5579415761853849,UP
lineage,primary,exposure_component,0.1289121780372785,0.11935366693649949,0.13915669888888327,0.44205842381461513,UP
lineage,primary,decomposition_total,0.29161796516593486,0.2743934925481501,0.3091981076108134,1.0,UP
lineage,primary,raw_cif_diff,0.29170348431536985,0.27442132213588744,0.30931766595953636,1.0002932574794778,UP
lineage,primary,identity_error,0.0,-5.551115123125783e-17,5.551115123125783e-17,0.0,UNRESOLVED
lineage,legacy,propensity_component,0.06064357468499881,0.05425627698216659,0.06724057585227088,0.6841749439528141,UP
lineage,legacy,exposure_component,0.02799395175616425,0.025068778509035418,0.03105970952009722,0.3158250560471859,UP
lineage,legacy,decomposition_total,0.08863752644116306,0.0799041544761207,0.09747958782619755,1.0,UP
lineage,legacy,raw_cif_diff,0.08784198950229524,0.07920810721077143,0.09658145097783051,0.9910248292026077,UP
lineage,legacy,identity_error,0.0,-1.3877787807814457e-17,1.3877787807814457e-17,0.0,UNRESOLVED
contiguous,primary,propensity_component,0.17582774824141228,0.16193340407099455,0.18990227869367166,0.6031103124971103,UP
contiguous,primary,exposure_component,0.1157072240481798,0.10734387475788634,0.12382925059252665,0.39688968750288967,UP
contiguous,primary,decomposition_total,0.2915349722895921,0.27380709141768966,0.30894136408017225,1.0,UP
contiguous,primary,raw_cif_diff,0.2915379154677639,0.27380756270010226,0.30894552077973014,1.0000100954549251,UP
contiguous,primary,identity_error,0.0,-5.551115123125783e-17,5.551115123125783e-17,0.0,UNRESOLVED
contiguous,legacy,propensity_component,0.06274916250048615,0.05628955284656285,0.06953086414579389,0.6981337928830228,UP
contiguous,legacy,exposure_component,0.027132122634496873,0.024214400033767985,0.030170057782105127,0.30186620711697726,UP
contiguous,legacy,decomposition_total,0.08988128513498302,0.08123786193899497,0.09906518917344295,1.0,UP
contiguous,legacy,raw_cif_diff,0.08983891686763698,0.08119899079908718,0.09903203285333774,0.9995286196978336,UP
contiguous,legacy,identity_error,1.3877787807814457e-17,-1.3877787807814457e-17,1.3877787807814457e-17,1.544013059779119e-16,UNRESOLVED
