metric,m0,m1,diff,ci_low,ci_high,n_prompts,n_m0,n_m1,direction,scale,model_tag,condition,comparison
close_sampler_prob,0.29773160970115264,0.12048368148759027,-0.1772479282135624,-0.2078818800942847,-0.14666680524106893,118,128,128,m1_lower,8B,qwen3-8b-cleanv2,direction_a1,vs_baseline
close_sampler_prob,0.29773160970115264,0.021651376095961922,-0.27608023360519074,-0.32280029447867,-0.2277517563708082,118,128,128,m1_lower,8B,qwen3-8b-cleanv2,direction_a2,vs_baseline
close_sampler_prob,0.29773160970115264,0.25672844851823456,-0.04100316118291808,-0.0530697390074471,-0.03004533535131862,118,128,128,m1_lower,8B,qwen3-8b-cleanv2,random0_a1,vs_baseline
close_sampler_prob,0.29773160970115264,0.287983458744099,-0.00974815095705367,-0.017589410334660736,-0.0033587696230299065,118,128,128,m1_lower,8B,qwen3-8b-cleanv2,random1_a1,vs_baseline
close_sampler_prob,0.29773160970115264,0.28188002009328533,-0.01585158960786731,-0.023278322329114084,-0.009502454294346407,118,128,128,m1_lower,8B,qwen3-8b-cleanv2,random2_a1,vs_baseline
close_sampler_prob,0.29773160970115264,0.3164423927392033,0.018710783038050682,0.011645361574859087,0.026886677152005416,118,128,128,m1_higher,8B,qwen3-8b-cleanv2,random3_a1,vs_baseline
close_sampler_prob,0.29773160970115264,0.33465899662188253,0.03692738692072989,0.02752894441606689,0.04737998441761092,118,128,128,m1_higher,8B,qwen3-8b-cleanv2,random4_a1,vs_baseline
close_sampler_prob,0.29773160970115264,0.31240220865322144,0.014670598952068792,0.00723907377460155,0.022116836999849676,118,128,128,m1_higher,8B,qwen3-8b-cleanv2,random5_a1,vs_baseline
close_sampler_prob,0.29773160970115264,0.3129556768505902,0.015224067149437581,0.008956791770207986,0.022277408607900857,118,128,128,m1_higher,8B,qwen3-8b-cleanv2,random6_a1,vs_baseline
close_sampler_prob,0.29773160970115264,0.330727580476934,0.03299597077578137,0.023982495768971712,0.04337781024040693,118,128,128,m1_higher,8B,qwen3-8b-cleanv2,random7_a1,vs_baseline
close_sampler_prob,0.30422234783718133,0.12048368148759027,-0.18373866634959107,-0.2139956535437493,-0.15232342362183512,118,128,128,m1_lower,8B,qwen3-8b-cleanv2,direction_a1,vs_random_mean
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,close_bias,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,direction_a0.5,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,direction_a1,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,direction_a2,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,random0_a1,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,random1_a1,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,random2_a1,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,random3_a1,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,random4_a1,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,random5_a1,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,random6_a1,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,random7_a1,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,direction_a1,vs_random_mean
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,close_bias,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,direction_a0.5,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,direction_a1,vs_baseline
