scale,layer,feature_id,view,cos_with_direction,dev_mean_act_clean,dev_mean_act_raw,test_mean_act_clean,test_mean_act_raw,test_delta_clean_minus_raw,test_active_share_clean,test_active_share_raw,dev_test_sign_agrees,manual_label
8B,32,21455,differential,0.246088818509544,83.55357360839844,72.88459014892578,90.80965423583984,80.01344299316406,10.796211242675781,1.0,1.0,True,
8B,32,2904,differential,0.21387960918332075,5.425504684448242,0.43672314286231995,6.06418514251709,0.6806979179382324,5.383487224578857,0.5271317829457365,0.07751937984496124,True,
8B,32,49602,projection,0.21290162054117925,0.30525505542755127,0.0,0.2280549854040146,0.0,0.2280549854040146,0.023255813953488372,0.0,True,
8B,32,639,differential,0.19101958240864592,13.228446960449219,8.48829174041748,15.904247283935547,11.039933204650879,4.864314079284668,0.7286821705426356,0.6589147286821705,True,
8B,32,41655,differential,0.1628411117562293,36.72462463378906,30.311315536499023,41.011322021484375,34.59892654418945,6.412395477294922,0.9457364341085271,0.9069767441860465,True,
8B,32,32714,differential,-0.16143799353308141,6.421163558959961,11.792503356933594,6.749031066894531,13.070719718933105,-6.321688652038574,0.4496124031007752,0.813953488372093,True,
8B,32,8833,differential,0.15418890139794358,23.239152908325195,18.980648040771484,26.509546279907227,22.556751251220703,3.9527950286865234,0.9147286821705426,0.8449612403100775,True,
8B,32,37527,projection,0.15400041008405058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
8B,32,27710,projection,0.14886641537848994,0.1298913210630417,0.0,0.28590771555900574,0.0,0.28590771555900574,0.031007751937984496,0.0,True,
8B,32,3080,projection,0.1480713759470791,1.6716911792755127,0.1745169460773468,3.381397008895874,0.6208666563034058,2.760530471801758,0.32558139534883723,0.06201550387596899,True,
8B,32,31611,projection,0.144883301281924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
8B,32,49183,projection,-0.14448632166303255,1.683481216430664,2.4989447593688965,0.5584275722503662,0.9231546521186829,-0.36472707986831665,0.046511627906976744,0.07751937984496124,True,
8B,32,33544,projection,0.14419873354879353,0.33080631494522095,0.0,0.3487708568572998,0.14858722686767578,0.20018362998962402,0.03875968992248062,0.015503875968992248,True,
8B,32,59729,differential,0.144107216461307,25.862062454223633,20.88710594177246,29.89336585998535,24.52119255065918,5.372173309326172,0.9922480620155039,0.9612403100775194,True,
8B,32,2236,projection,-0.14334457016179306,0.04007372632622719,0.04000544175505638,0.06961951404809952,0.22104638814926147,-0.15142688155174255,0.007751937984496124,0.023255813953488372,False,
8B,32,2569,projection,0.14110407133553704,0.835396409034729,0.2331823706626892,1.2510451078414917,0.32269346714019775,0.928351640701294,0.12403100775193798,0.03875968992248062,True,
8B,32,3850,differential,,33.40707778930664,26.97724723815918,34.014503479003906,27.76447105407715,6.250032424926758,0.9922480620155039,0.9689922480620154,True,
8B,32,63142,differential,,23.941083908081055,18.74307632446289,25.955801010131836,21.248065948486328,4.707735061645508,0.9069767441860465,0.8294573643410853,True,
8B,32,33959,differential,,7.350795745849609,2.1664063930511475,9.389392852783203,4.149341106414795,5.240051746368408,0.6356589147286822,0.3333333333333333,True,
8B,32,25859,differential,,5.334059238433838,0.26858657598495483,9.122462272644043,1.504721999168396,7.617740154266357,0.4263565891472868,0.07751937984496124,True,
8B,32,30976,differential,,6.472264766693115,1.585851788520813,8.51602840423584,2.7195844650268555,5.796443939208984,0.5116279069767442,0.23255813953488372,True,
8B,32,6023,differential,,34.57557678222656,29.854206085205078,38.32233428955078,33.32442092895508,4.997913360595703,0.9922480620155039,0.9922480620155039,True,
8B,32,30197,differential,,13.298399925231934,8.870369911193848,16.147048950195312,12.04400634765625,4.1030426025390625,0.9224806201550387,0.7751937984496124,True,
8B,32,12735,differential,,97.0898208618164,101.5134506225586,100.14485931396484,106.71308898925781,-6.568229675292969,1.0,1.0,True,
8B,32,57178,differential,,24.39712905883789,19.98153305053711,31.02776527404785,26.666439056396484,4.361326217651367,0.9224806201550387,0.9069767441860465,True,
