scale,model_tag,metric,n_anchors,r2_baseline_mean,r1_mean,mean_gap,max_abs_gap
4B,qwen3-4b-cleanv2-s42,next_event_close_rate,127,0.27017716535433073,0.2780511811023622,-0.007874015748031496,0.4375
4B,qwen3-4b-cleanv2-s42,margin_first_policy,127,-3.877952755905513,-3.877952755905513,0.0,0.0
4B,qwen3-4b-keep4-s42,next_event_close_rate,127,0.11122047244094488,0.10679133858267717,0.0044291338582677165,0.625
4B,qwen3-4b-keep4-s42,margin_first_policy,127,-5.932227221597301,-5.932227221597301,0.0,0.0
4B,qwen3-4b-obr-p15-s42,next_event_close_rate,127,0.24163385826771652,0.2298228346456693,0.011811023622047244,0.375
4B,qwen3-4b-obr-p15-s42,margin_first_policy,127,-3.8259280089988756,-3.8259280089988756,0.0,0.0
