episode_variant,capture_kind,kmax,pooled_hazard_diff,pooled_hazard_ci_low,pooled_hazard_ci_high,propensity_component,propensity_ci_low,propensity_ci_high,exposure_component,exposure_ci_low,exposure_ci_high,decomposition_total,raw_cif_diff,k_pool
lineage,primary,68,-0.005816192693790247,-0.007642253745055759,-0.004139270654686036,-0.02172570154311843,-0.02840451593195121,-0.015405378069899184,0.005273562381300657,0.0037432747721338967,0.006869681537214154,-0.016452139161817772,-0.016452088254797388,24
lineage,legacy,241,-0.0005666343332557007,-0.0011280333234423953,-3.702754972121143e-05,-0.002262021813599077,-0.00453257133248154,-0.00010732413312646218,0.000654765094048423,0.0004647036992589614,0.0008891982276492976,-0.001607256719550654,-0.001607256719550654,26
contiguous,primary,28,-0.010140850738947793,-0.01308184551796074,-0.007301090200747382,-0.023337558931353558,-0.029992956236464977,-0.016873278082859232,0.006885795966521342,0.0055615622471888795,0.008319546068269642,-0.016451762964832216,-0.016451767268540966,11
contiguous,legacy,28,-0.0010152912745371775,-0.0019618862508784733,-7.292253495930735e-05,-0.0024043481080221136,-0.004674995643070978,-0.00014249821073756132,0.0007910348740744883,0.0005625667529351848,0.0010676794084178705,-0.001613313233947625,-0.001613313233947625,11
