episode_variant,capture_kind,scope,metric,m0,m1,diff_or_value,ci_low,ci_high,n_m0,n_m1,direction
lineage,primary,slot,pooled_capture_hazard,0.014928112572652186,0.00911191987886194,-0.005816192693790247,-0.007642253745055759,-0.004139270654686036,nan,nan,DOWN
lineage,primary,slot,pooled_gap_stop_hazard,0.15153874098292594,0.12776310301682192,-0.02377563796610402,-0.029349923341353997,-0.01842451610513171,nan,nan,DOWN
lineage,primary,slot,pooled_inepisode_stop_hazard,0.07684307127561946,0.07943043859416093,0.002587367318541478,-0.0009532086632173832,0.005969566377033333,nan,nan,UNRESOLVED
lineage,primary,slot,cif_capture_final,0.05522343717257757,0.03877134891778018,-0.016452088254797388,-0.023118407900483987,-0.010008570905839327,nan,nan,DOWN
lineage,primary,slot,cif_stop_final,0.9447765628274232,0.9612286510822199,0.016452088254796715,0.010008570905838052,0.023118407900484323,nan,nan,UP
lineage,primary,slot,propensity_component,nan,nan,-0.02172570154311843,-0.02840451593195121,-0.015405378069899184,nan,nan,DOWN
lineage,primary,slot,exposure_component,nan,nan,0.005273562381300657,0.0037432747721338967,0.006869681537214154,nan,nan,UP
lineage,primary,slot,decomposition_total,nan,nan,-0.016452139161817772,-0.023118460549295214,-0.010008597702592126,nan,nan,DOWN
lineage,primary,slot,identity_error,nan,nan,0.0,0.0,0.0,nan,nan,UNRESOLVED
lineage,primary,slot,raw_cif_diff,nan,nan,-0.016452088254797388,-0.023118407900483987,-0.010008570905839327,nan,nan,DOWN
lineage,primary,slot,hazard_k1,0.012316806984720922,0.008980755523877405,-0.0033360514608435175,-0.006774338804364681,5.0175554865937546e-05,nan,nan,UNRESOLVED
lineage,primary,slot,hazard_k2,0.011129431162407255,0.009844281367460175,-0.0012851497949470797,-0.005116619375181505,0.002496608544109977,nan,nan,UNRESOLVED
lineage,primary,slot,hazard_k3,0.01718830169317599,0.010094212651413189,-0.007094089041762799,-0.012183439445671749,-0.0022634471638997788,nan,nan,DOWN
lineage,primary,slot,hazard_k4,0.014790996784565916,0.011826182618261826,-0.00296481416630409,-0.009023713089547278,0.0028902280558188143,nan,nan,UNRESOLVED
