episode_variant,capture_kind,component,value,ci_low,ci_high,share_of_total,direction
lineage,primary,propensity_component,-0.02172570154311843,-0.02840451593195121,-0.015405378069899184,1.3205396167289645,DOWN
lineage,primary,exposure_component,0.005273562381300657,0.0037432747721338967,0.006869681537214154,-0.3205396167289645,UP
lineage,primary,decomposition_total,-0.016452139161817772,-0.023118460549295214,-0.010008597702592126,1.0,DOWN
lineage,primary,raw_cif_diff,-0.016452088254797388,-0.023118407900483987,-0.010008570905839327,0.9999969057506818,DOWN
lineage,primary,identity_error,0.0,0.0,0.0,-0.0,UNRESOLVED
lineage,legacy,propensity_component,-0.002262021813599077,-0.00453257133248154,-0.00010732413312646218,1.4073805298704727,DOWN
lineage,legacy,exposure_component,0.000654765094048423,0.0004647036992589614,0.0008891982276492976,-0.40738052987047263,UP
lineage,legacy,decomposition_total,-0.001607256719550654,-0.003765235946361173,0.0005332479972507903,1.0,UNRESOLVED
lineage,legacy,raw_cif_diff,-0.001607256719550654,-0.003765235946361173,0.0005332479972507903,1.0,UNRESOLVED
lineage,legacy,identity_error,0.0,-4.336808689942018e-19,4.336808689942018e-19,-0.0,UNRESOLVED
contiguous,primary,propensity_component,-0.023337558931353558,-0.029992956236464977,-0.016873278082859232,1.418544564569805,DOWN
contiguous,primary,exposure_component,0.006885795966521342,0.0055615622471888795,0.008319546068269642,-0.4185445645698049,UP
contiguous,primary,decomposition_total,-0.016451762964832216,-0.0229396969194332,-0.01017434245712135,1.0,DOWN
contiguous,primary,raw_cif_diff,-0.016451767268540966,-0.022939696919433192,-0.01017434256762956,1.0000002615955967,DOWN
contiguous,primary,identity_error,0.0,0.0,0.0,-0.0,UNRESOLVED
contiguous,legacy,propensity_component,-0.0024043481080221136,-0.004674995643070978,-0.00014249821073756132,1.490316980874756,DOWN
contiguous,legacy,exposure_component,0.0007910348740744883,0.0005625667529351848,0.0010676794084178705,-0.4903169808747559,UP
contiguous,legacy,decomposition_total,-0.001613313233947625,-0.0037675763301495404,0.0005507976037955036,1.0,UNRESOLVED
contiguous,legacy,raw_cif_diff,-0.001613313233947625,-0.0037675763301495396,0.0005507976037955019,1.0,UNRESOLVED
contiguous,legacy,identity_error,-2.168404344971009e-19,-4.336808689942018e-19,4.336808689942018e-19,1.3440690247517081e-16,UNRESOLVED
