contrast,value,ci_low,ci_high
M1_post_ge1_minus_pre_0.5_1.0::new_valid_any,-0.19134355177622092,-0.19918273718303076,-0.18370619973596983
M1_deep_ge1.25_minus_pre_0.5_1.0::new_valid_any,-0.2001855031057006,-0.20840915281816755,-0.1921760604312057
M1_post_ge1_minus_pre_0.5_1.0::seen_triple_reuse,0.6413291374575908,0.6280819525855428,0.6540463477682422
M1_deep_ge1.25_minus_pre_0.5_1.0::seen_triple_reuse,0.6919353001568984,0.6790847130433356,0.7040675926845862
M1_post_ge1_minus_pre_0.5_1.0::normal_stop,0.004170736625585446,0.003754783959070231,0.004599099250543963
M1_deep_ge1.25_minus_pre_0.5_1.0::normal_stop,0.004121826922883404,0.003683827964235515,0.004588827262796539
M1_post_ge1::new_valid_minus_seen_reuse,-0.7068754292875534,-0.722251174655568,-0.6906697864370701
M1_deep_ge1.25::new_valid_minus_seen_reuse,-0.7663235433163407,-0.7803882139058489,-0.7514984918841023
