model,progress_range,progress_left,progress_right,invalid_complete_object_candidates,all_invalid_complete_object_candidates,share_within_model,n_responses
M0,<0.50G,0.0,0.5,42,200,0.21,8848
M0,0.50-0.75G,0.5,0.75,143,200,0.715,8848
M0,0.75-1.00G,0.75,1.0,5,200,0.025,8848
M0,1.00-1.25G,1.0,1.25,0,200,0.0,8848
M0,1.25-1.50G,1.25,1.5,0,200,0.0,8848
M0,>=1.50G,1.5,inf,10,200,0.05,8848
M1,<0.50G,0.0,0.5,541,743,0.7281292059219381,8848
M1,0.50-0.75G,0.5,0.75,88,743,0.11843876177658143,8848
M1,0.75-1.00G,0.75,1.0,5,743,0.006729475100942127,8848
M1,1.00-1.25G,1.0,1.25,104,743,0.13997308209959622,8848
M1,1.25-1.50G,1.25,1.5,1,743,0.0013458950201884253,8848
M1,>=1.50G,1.5,inf,4,743,0.005383580080753701,8848
