range_type,progress_range,progress_left,progress_right,metric,m0,m1,diff_m1_minus_m0,ci_low,ci_high,m0_denominator,m1_denominator
base_bin,<0.50G,0.0,0.5,new_strict_gold,0.1211739843823825,0.11812017709223482,-0.0030538072901476754,-0.006265286543332077,0.00013142122867081622,232814,232873
base_bin,<0.50G,0.0,0.5,new_relaxed_gold_pair,0.45028649479842275,0.42858553804004756,-0.02170095675837519,-0.026557568973724525,-0.01668936952374025,232814,232873
base_bin,<0.50G,0.0,0.5,new_valid_any,0.4506043450995215,0.42894624967256834,-0.021658095426953183,-0.026532446297478574,-0.016645115757849487,232814,232873
base_bin,<0.50G,0.0,0.5,seen_triple_reuse,0.006296872181226215,0.007231409394820353,0.0009345372135941381,-7.991407903774233e-05,0.0019576011123282845,232814,232873
base_bin,<0.50G,0.0,0.5,gold_pair_already_covered_variant,0.0021605229926035378,0.0019925023510668906,-0.00016802064153664722,-0.0005124906020732138,0.0001522574172673701,232814,232873
base_bin,<0.50G,0.0,0.5,new_unmatched,0.540744972381386,0.5617525432317185,0.021007570850332558,0.015961733542226263,0.02595042857516222,232814,232873
base_bin,<0.50G,0.0,0.5,invalid_identity,0.0,0.0,0.0,0.0,0.0,232814,232873
base_bin,<0.50G,0.0,0.5,normal_stop,0.00019328734526274192,7.729534982587076e-05,-0.00011599199543687116,-0.00019625239645306233,-4.218188662740007e-05,232814,232873
base_bin,0.50-0.75G,0.5,0.75,new_strict_gold,0.07985390623682036,0.07313848584376169,-0.006715420393058669,-0.010303189649890004,-0.003030241178469121,118554,120265
base_bin,0.50-0.75G,0.5,0.75,new_relaxed_gold_pair,0.2750898324814009,0.25432170623207084,-0.020768126249330054,-0.027465760239461987,-0.013892993357215886,118554,120265
base_bin,0.50-0.75G,0.5,0.75,new_valid_any,0.2765406481434621,0.2556936764644743,-0.020846971678987802,-0.027507080073941353,-0.013996050975968118,118554,120265
base_bin,0.50-0.75G,0.5,0.75,seen_triple_reuse,0.04798657152015116,0.05330727975720284,0.005320708237051684,0.0005421573272690376,0.01017115316075483,118554,120265
base_bin,0.50-0.75G,0.5,0.75,gold_pair_already_covered_variant,0.011724614943401318,0.011009021743649441,-0.000715593199751877,-0.0019223877351827452,0.0005049829867780975,118554,120265
base_bin,0.50-0.75G,0.5,0.75,new_unmatched,0.6613526325556287,0.6796657381615598,0.018313105605931135,0.010381268002756044,0.026139383502716003,118554,120265
base_bin,0.50-0.75G,0.5,0.75,invalid_identity,0.0,0.0,0.0,0.0,0.0,118554,120265
