metric,m0,m1,diff_m1_minus_m0,ci_low,ci_high,m0_ci_low,m0_ci_high,m1_ci_low,m1_ci_high,n_m0,n_m1,direction
output_gold_ratio,1.6515712681738268,4.136725545869019,2.485154277695192,2.2850941105199385,2.7031949132006035,1.5825356707422802,1.7376951393359834,3.9011492704246185,4.393224654538083,8848,8848,UP
final_strict_coverage,0.10348949164751967,0.10684607149356318,0.0033565798460435115,0.0013557038997546404,0.005431616689119848,0.09798695929776735,0.10920990617962714,0.10122791128406523,0.11263565175037071,8848,8848,UP
final_relaxed_coverage,0.38152676474963004,0.38251001865372447,0.0009832539040944277,-0.0029806655606417556,0.0051543512827130844,0.37162521478727534,0.3917417305152702,0.37266500695981414,0.3928248514428796,8848,8848,UNRESOLVED
strict_coverage_at_1g,0.0898812936517069,0.08688850493816958,-0.0029927887135373227,-0.004726305680108801,-0.0012056677880085778,0.08516041294589462,0.09480223744538156,0.08224109081547917,0.09171422557931543,8848,8848,DOWN
relaxed_coverage_at_1g,0.33307575815456975,0.31445861462574776,-0.01861714352882199,-0.022027508954164356,-0.015145562266628651,0.32446440409951893,0.34209769668300755,0.3058962360412404,0.323254078692737,8848,8848,DOWN
post_1g_strict_coverage_gain,0.01360819799581285,0.019957566555393696,0.006349368559580846,0.00514485690532942,0.0076132408713631295,0.012164710096361707,0.01515437393306128,0.018274652177842104,0.021717424750054667,8848,8848,UP
post_1g_relaxed_coverage_gain,0.04845100659505961,0.06805140402797633,0.019600397432916715,0.017087319053963036,0.022271311838944596,0.04514666799405047,0.051743859146826124,0.0644401849101205,0.07176962907434668,8848,8848,UP
seed_rate,0.7249095840867993,0.9029159132007233,0.178006329113924,0.16545829566003617,0.1904385171790235,0.7088607594936709,0.7410714285714286,0.8925180831826401,0.9130877034358047,8848,8848,UP
seed_progress,1.0012014990241964,1.1887503055516477,0.18754880652745132,0.16185627361981547,0.2170496167589417,0.9756960978465232,1.028554200179105,1.1483133979849287,1.233148714479548,6414,7989,UP
seed_strict_coverage,0.0816148741292649,0.08379779445303531,0.002182920323770418,-0.0003493585819340922,0.004661309025373297,0.07702473899691353,0.08643999025491364,0.079336985410077,0.08854619905211426,6414,7989,UNRESOLVED
seed_relaxed_coverage,0.31171892883708024,0.31046267868977184,-0.001256250147308402,-0.006106006209236089,0.003590312110031473,0.30234885996053174,0.32119616397200684,0.3016130390667394,0.3194663680371797,6414,7989,UNRESOLVED
