model,progress_range,count,denominator_seeded,share,mean_strict_coverage,mean_relaxed_coverage,mean_relaxed_fraction_of_final
M0,<0.75G,2138,6414,0.3333333333333333,0.05702579181062089,0.22159306559329026,nan
M0,0.75-1.00G,1588,6414,0.24758341128780792,0.08458235737069418,0.32150895609874264,nan
M0,1.00-1.25G,1299,6414,0.20252572497661367,0.10100007908427283,0.3750396086473046,nan
M0,>=1.25G,1389,6414,0.2165575304022451,0.09794152162625219,0.380033521529824,nan
M1,<0.75G,2265,7989,0.28351483289523094,0.055377374811542694,0.2128715769689227,nan
M1,0.75-1.00G,1610,7989,0.20152709976217298,0.08667800262215676,0.3128176029459762,nan
M1,1.00-1.25G,1463,7989,0.18312679934910503,0.09683922189354391,0.3588699992384421,nan
M1,>=1.25G,2651,7989,0.33183126799349105,0.09913370806685332,0.36569938460547546,nan
