sample_id,stable_prompt_id,model_tag,seed,kind,seed_ordinal,prior_reuse_events,progress,after_1g,after_1_25g,after_last_new_relaxed,relaxed_coverage,relaxed_fraction_of_final
M0:2:0,2,M0,0,primary_semantic_capture,8,7,0.3548387096774194,False,False,True,0.11827956989247312,1.0
M0:2:3,2,M0,3,primary_semantic_capture,5,4,0.3870967741935484,False,False,True,0.11827956989247312,1.0
M0:2:6,2,M0,6,primary_semantic_capture,3,2,0.1827956989247312,False,False,False,0.053763440860215055,0.38461538461538464
M0:4:3,4,M0,3,primary_semantic_capture,4,3,0.8695652173913043,False,False,True,0.1956521739130435,1.0
M0:5:4,5,M0,4,primary_semantic_capture,138,137,2.2127659574468086,True,True,True,0.3829787234042553,1.0
M0:5:5,5,M0,5,primary_semantic_capture,40,39,1.1063829787234043,True,False,True,0.14893617021276595,1.0
M0:14:5,14,M0,5,primary_semantic_capture,5,4,1.1481481481481481,True,False,True,0.14814814814814814,1.0
M0:14:7,14,M0,7,primary_semantic_capture,26,25,1.2839506172839505,True,True,True,0.09876543209876543,1.0
M0:16:7,16,M0,7,primary_semantic_capture,29,28,2.2435897435897436,True,True,True,0.20512820512820512,1.0
M0:20:3,20,M0,3,primary_semantic_capture,14,13,1.2555555555555555,True,True,True,0.16666666666666666,1.0
M0:21:0,21,M0,0,primary_semantic_capture,2,1,1.028169014084507,True,False,True,0.16901408450704225,1.0
M0:21:3,21,M0,3,primary_semantic_capture,17,16,1.2253521126760563,True,False,True,0.16901408450704225,1.0
M0:21:7,21,M0,7,primary_semantic_capture,13,12,1.295774647887324,True,True,True,0.16901408450704225,1.0
M0:22:4,22,M0,4,primary_semantic_capture,14,13,1.4333333333333333,True,True,True,0.05,1.0
M0:23:4,23,M0,4,primary_semantic_capture,3,2,0.6081081081081081,False,False,True,0.14864864864864866,1.0
M0:23:5,23,M0,5,primary_semantic_capture,1,0,0.4594594594594595,False,False,True,0.02702702702702703,1.0
M0:23:5,23,M0,5,legacy_aligned_capture,1,0,0.4594594594594595,False,False,True,0.02702702702702703,1.0
M0:29:5,29,M0,5,primary_semantic_capture,1,0,0.5833333333333334,False,False,True,0.25,1.0
M0:32:6,32,M0,6,primary_semantic_capture,7,6,1.1590909090909092,True,False,True,0.022727272727272728,1.0
M0:40:6,40,M0,6,primary_semantic_capture,1,0,2.1875,True,True,True,0.28125,1.0
M0:40:7,40,M0,7,primary_semantic_capture,2,1,2.4375,True,True,True,0.28125,1.0
M0:45:2,45,M0,2,primary_semantic_capture,7,6,0.6883116883116883,False,False,True,0.07792207792207792,1.0
M0:45:3,45,M0,3,primary_semantic_capture,3,2,0.4675324675324675,False,False,True,0.05194805194805195,1.0
M0:48:0,48,M0,0,primary_semantic_capture,36,35,1.3625,True,True,True,0.1125,1.0
M0:48:1,48,M0,1,primary_semantic_capture,56,55,1.85,True,True,True,0.1,1.0
M0:48:5,48,M0,5,primary_semantic_capture,10,9,1.675,True,True,True,0.2,1.0
M0:52:7,52,M0,7,primary_semantic_capture,5,4,1.5,True,True,True,0.34615384615384615,1.0
M0:53:7,53,M0,7,primary_semantic_capture,1,0,0.5581395348837209,False,False,True,0.1511627906976744,1.0
M0:54:1,54,M0,1,primary_semantic_capture,3,2,2.625,True,True,True,0.25,1.0
M0:54:4,54,M0,4,primary_semantic_capture,8,7,2.6875,True,True,True,0.25,1.0
M0:58:5,58,M0,5,primary_semantic_capture,4,3,0.8571428571428571,False,False,True,0.24489795918367346,1.0
M0:58:7,58,M0,7,primary_semantic_capture,9,8,0.5918367346938775,False,False,True,0.1836734693877551,1.0
M0:60:7,60,M0,7,primary_semantic_capture,8,7,0.42105263157894735,False,False,True,0.15789473684210525,1.0
M0:64:4,64,M0,4,primary_semantic_capture,1,0,0.6428571428571429,False,False,True,0.125,1.0
M0:67:2,67,M0,2,primary_semantic_capture,1,0,0.6923076923076923,False,False,True,0.01282051282051282,1.0
M0:67:2,67,M0,2,legacy_aligned_capture,1,0,0.6923076923076923,False,False,True,0.01282051282051282,1.0
M0:67:4,67,M0,4,primary_semantic_capture,1,0,0.5769230769230769,False,False,True,0.02564102564102564,1.0
M0:67:4,67,M0,4,legacy_aligned_capture,1,0,0.5769230769230769,False,False,True,0.02564102564102564,1.0
M0:67:5,67,M0,5,primary_semantic_capture,3,2,0.8461538461538461,False,False,True,0.02564102564102564,1.0
M0:67:5,67,M0,5,legacy_aligned_capture,3,2,0.8461538461538461,False,False,True,0.02564102564102564,1.0
M0:67:6,67,M0,6,primary_semantic_capture,24,23,1.358974358974359,True,True,True,0.01282051282051282,1.0
M0:72:4,72,M0,4,primary_semantic_capture,1,0,1.6486486486486487,True,True,True,0.5,1.0
M0:74:7,74,M0,7,primary_semantic_capture,3,2,1.488888888888889,True,True,True,0.1111111111111111,1.0
M0:76:3,76,M0,3,primary_semantic_capture,1,0,1.4102564102564104,True,True,,0.0,nan
M0:76:4,76,M0,4,primary_semantic_capture,2,1,1.6153846153846154,True,True,True,0.05128205128205128,1.0
M0:77:1,77,M0,1,primary_semantic_capture,7,6,1.490909090909091,True,True,True,0.05454545454545454,1.0
M0:77:2,77,M0,2,primary_semantic_capture,4,3,0.6181818181818182,False,False,True,0.10909090909090909,1.0
M0:77:2,77,M0,2,legacy_aligned_capture,4,3,0.6181818181818182,False,False,True,0.10909090909090909,1.0
M0:93:7,93,M0,7,primary_semantic_capture,5,4,1.2765957446808511,True,True,True,0.2978723404255319,1.0
M0:96:1,96,M0,1,primary_semantic_capture,11,10,2.65,True,True,True,0.6,1.0
M0:96:7,96,M0,7,primary_semantic_capture,3,2,2.175,True,True,True,0.55,1.0
M0:113:3,113,M0,3,primary_semantic_capture,2,1,2.4444444444444446,True,True,True,0.5555555555555556,1.0
M0:113:4,113,M0,4,primary_semantic_capture,4,3,8.777777777777779,True,True,True,0.2222222222222222,1.0
M0:117:2,117,M0,2,primary_semantic_capture,5,4,1.829268292682927,True,True,True,0.12195121951219512,1.0
M0:117:5,117,M0,5,primary_semantic_capture,16,15,3.1219512195121952,True,True,True,0.12195121951219512,1.0
M0:117:6,117,M0,6,primary_semantic_capture,7,6,0.7317073170731707,False,False,True,0.12195121951219512,1.0
M0:119:1,119,M0,1,primary_semantic_capture,3,2,0.4418604651162791,False,False,True,0.11627906976744186,1.0
M0:119:3,119,M0,3,primary_semantic_capture,5,4,0.7558139534883721,False,False,True,0.09302325581395349,1.0
M0:119:6,119,M0,6,primary_semantic_capture,5,4,0.7441860465116279,False,False,True,0.09302325581395349,1.0
M0:123:1,123,M0,1,primary_semantic_capture,53,52,1.1071428571428572,True,False,True,0.19642857142857142,1.0
M0:123:3,123,M0,3,primary_semantic_capture,14,13,0.625,False,False,True,0.15178571428571427,1.0
M0:123:5,123,M0,5,primary_semantic_capture,8,7,0.5714285714285714,False,False,True,0.11607142857142858,1.0
M0:123:6,123,M0,6,primary_semantic_capture,18,17,0.7946428571428571,False,False,True,0.17857142857142858,1.0
M0:127:5,127,M0,5,primary_semantic_capture,9,8,1.086021505376344,True,False,True,0.3655913978494624,1.0
M0:132:2,132,M0,2,primary_semantic_capture,17,16,1.0566037735849056,True,False,True,0.1320754716981132,1.0
M0:132:3,132,M0,3,primary_semantic_capture,2,1,0.9433962264150944,False,False,True,0.16981132075471697,1.0
M0:132:4,132,M0,4,primary_semantic_capture,6,5,0.9056603773584906,False,False,True,0.22641509433962265,1.0
M0:134:0,134,M0,0,primary_semantic_capture,1,0,0.703125,False,False,True,0.28125,1.0
M0:134:0,134,M0,0,legacy_aligned_capture,3,2,0.734375,False,False,True,0.28125,1.0
M0:134:1,134,M0,1,primary_semantic_capture,8,7,0.765625,False,False,True,0.25,1.0
M0:134:1,134,M0,1,legacy_aligned_capture,8,7,0.765625,False,False,True,0.25,1.0
M0:134:2,134,M0,2,primary_semantic_capture,11,10,0.890625,False,False,True,0.21875,1.0
M0:134:3,134,M0,3,primary_semantic_capture,16,15,0.890625,False,False,True,0.296875,1.0
M0:134:3,134,M0,3,legacy_aligned_capture,16,15,0.890625,False,False,True,0.296875,1.0
M0:134:4,134,M0,4,primary_semantic_capture,4,3,0.75,False,False,False,0.359375,0.92
M0:134:5,134,M0,5,primary_semantic_capture,5,4,0.84375,False,False,True,0.296875,1.0
M0:134:5,134,M0,5,legacy_aligned_capture,6,5,0.859375,False,False,True,0.296875,1.0
M0:138:4,138,M0,4,primary_semantic_capture,4,3,0.7951807228915663,False,False,True,0.1686746987951807,1.0
M0:139:4,139,M0,4,primary_semantic_capture,18,17,2.45,True,True,True,0.4,1.0
M0:139:6,139,M0,6,primary_semantic_capture,4,3,2.2,True,True,True,0.35,1.0
M0:140:1,140,M0,1,primary_semantic_capture,2,1,1.4545454545454546,True,True,True,0.4090909090909091,1.0
M0:147:0,147,M0,0,primary_semantic_capture,3,2,0.9361702127659575,False,False,True,0.48936170212765956,1.0
M0:147:2,147,M0,2,primary_semantic_capture,16,15,1.2340425531914894,True,False,True,0.40425531914893614,1.0
M0:147:5,147,M0,5,primary_semantic_capture,2,1,1.1702127659574468,True,False,True,0.7446808510638298,1.0
M0:147:7,147,M0,7,primary_semantic_capture,20,19,1.7659574468085106,True,True,True,0.6595744680851063,1.0
M0:153:3,153,M0,3,primary_semantic_capture,29,28,1.0612244897959184,True,False,True,0.05102040816326531,1.0
M0:154:1,154,M0,1,primary_semantic_capture,13,12,0.922077922077922,False,False,True,0.09090909090909091,1.0
M0:154:4,154,M0,4,primary_semantic_capture,7,6,0.7012987012987013,False,False,True,0.06493506493506493,1.0
M0:154:5,154,M0,5,primary_semantic_capture,9,8,0.6493506493506493,False,False,True,0.025974025974025976,1.0
M0:154:5,154,M0,5,legacy_aligned_capture,9,8,0.6493506493506493,False,False,True,0.025974025974025976,1.0
M0:154:6,154,M0,6,primary_semantic_capture,15,14,0.8181818181818182,False,False,True,0.06493506493506493,1.0
M0:160:1,160,M0,1,primary_semantic_capture,8,7,1.5714285714285714,True,True,True,0.125,1.0
M0:160:4,160,M0,4,primary_semantic_capture,6,5,1.5178571428571428,True,True,True,0.26785714285714285,1.0
M0:160:5,160,M0,5,primary_semantic_capture,15,14,1.4821428571428572,True,True,True,0.23214285714285715,1.0
M0:160:7,160,M0,7,primary_semantic_capture,24,23,1.3392857142857142,True,True,True,0.17857142857142858,1.0
M0:161:2,161,M0,2,primary_semantic_capture,12,11,1.4705882352941178,True,True,True,0.23529411764705882,1.0
M0:162:1,162,M0,1,primary_semantic_capture,8,7,0.9142857142857143,False,False,True,0.05714285714285714,1.0
M0:163:3,163,M0,3,primary_semantic_capture,1,0,0.5051546391752577,False,False,True,0.12371134020618557,1.0
M0:163:7,163,M0,7,primary_semantic_capture,3,2,0.4020618556701031,False,False,True,0.1134020618556701,1.0
M0:167:0,167,M0,0,primary_semantic_capture,9,8,1.4883720930232558,True,True,True,0.18604651162790697,1.0
M0:167:3,167,M0,3,primary_semantic_capture,19,18,2.0232558139534884,True,True,True,0.18604651162790697,1.0
M0:167:6,167,M0,6,primary_semantic_capture,25,24,2.7906976744186047,True,True,True,0.18604651162790697,1.0
M0:179:1,179,M0,1,primary_semantic_capture,3,2,0.6415094339622641,False,False,True,0.07547169811320754,1.0
M0:179:3,179,M0,3,primary_semantic_capture,15,14,0.6981132075471698,False,False,True,0.09433962264150944,1.0
M0:179:4,179,M0,4,primary_semantic_capture,10,9,1.0,True,False,True,0.11320754716981132,1.0
M0:179:7,179,M0,7,primary_semantic_capture,10,9,0.9056603773584906,False,False,True,0.07547169811320754,1.0
M0:181:6,181,M0,6,primary_semantic_capture,4,3,0.6944444444444444,False,False,True,0.1111111111111111,1.0
M0:187:2,187,M0,2,primary_semantic_capture,20,19,0.5964912280701754,False,False,True,0.08771929824561403,1.0
M0:187:7,187,M0,7,primary_semantic_capture,22,21,1.0526315789473684,True,False,True,0.19298245614035087,1.0
M0:188:6,188,M0,6,primary_semantic_capture,6,5,1.6136363636363635,True,True,True,0.5,1.0
M0:193:7,193,M0,7,primary_semantic_capture,2,1,1.0,True,False,True,0.41379310344827586,1.0
M0:196:4,196,M0,4,primary_semantic_capture,7,6,1.829268292682927,True,True,True,0.2682926829268293,1.0
M0:198:2,198,M0,2,primary_semantic_capture,9,8,1.1379310344827587,True,False,True,0.2413793103448276,1.0
M0:204:4,204,M0,4,primary_semantic_capture,17,16,0.6574074074074074,False,False,True,0.037037037037037035,1.0
M0:215:3,215,M0,3,primary_semantic_capture,6,5,1.411764705882353,True,True,True,0.75,1.0
M0:216:1,216,M0,1,primary_semantic_capture,26,25,1.2142857142857142,True,False,True,0.2571428571428571,1.0
M0:216:2,216,M0,2,primary_semantic_capture,27,26,0.9571428571428572,False,False,True,0.24285714285714285,1.0
M0:216:5,216,M0,5,primary_semantic_capture,20,19,0.8571428571428571,False,False,True,0.12857142857142856,1.0
M0:229:7,229,M0,7,primary_semantic_capture,16,15,1.3289473684210527,True,True,True,0.4342105263157895,1.0
M0:231:1,231,M0,1,primary_semantic_capture,11,10,0.9464285714285714,False,False,True,0.48214285714285715,1.0
M0:231:2,231,M0,2,primary_semantic_capture,20,19,1.4642857142857142,True,True,True,0.5178571428571429,1.0
M0:231:5,231,M0,5,primary_semantic_capture,4,3,0.9821428571428571,False,False,True,0.42857142857142855,1.0
M0:238:0,238,M0,0,primary_semantic_capture,23,22,1.5476190476190477,True,True,True,0.30952380952380953,1.0
M0:238:2,238,M0,2,primary_semantic_capture,6,5,1.0476190476190477,True,False,False,0.09523809523809523,0.36363636363636365
M0:239:2,239,M0,2,primary_semantic_capture,6,5,1.391304347826087,True,True,True,0.1956521739130435,1.0
M0:253:1,253,M0,1,primary_semantic_capture,4,3,1.5,True,True,True,0.22727272727272727,1.0
M0:264:2,264,M0,2,primary_semantic_capture,3,2,0.5510204081632653,False,False,True,0.20408163265306123,1.0
M0:268:0,268,M0,0,primary_semantic_capture,15,14,3.409090909090909,True,True,True,0.3181818181818182,1.0
M0:268:7,268,M0,7,primary_semantic_capture,2,1,1.6363636363636365,True,True,True,0.4090909090909091,1.0
M0:272:1,272,M0,1,primary_semantic_capture,8,7,1.2727272727272727,True,True,True,0.2,1.0
M0:272:2,272,M0,2,primary_semantic_capture,2,1,0.9272727272727272,False,False,True,0.12727272727272726,1.0
M0:273:3,273,M0,3,primary_semantic_capture,5,4,1.3846153846153846,True,True,True,0.1282051282051282,1.0
M0:283:7,283,M0,7,primary_semantic_capture,18,17,1.78125,True,True,True,0.421875,1.0
M0:291:5,291,M0,5,primary_semantic_capture,3,2,1.0,True,False,True,0.2727272727272727,1.0
M0:298:1,298,M0,1,primary_semantic_capture,23,22,2.2278481012658227,True,True,True,0.620253164556962,1.0
M0:298:2,298,M0,2,primary_semantic_capture,16,15,1.1772151898734178,True,False,True,0.43037974683544306,1.0
M0:298:3,298,M0,3,primary_semantic_capture,15,14,1.3544303797468353,True,True,True,0.6582278481012658,1.0
M0:298:4,298,M0,4,primary_semantic_capture,17,16,1.5569620253164558,True,True,True,0.46835443037974683,1.0
M0:298:6,298,M0,6,primary_semantic_capture,15,14,1.2784810126582278,True,True,True,0.5189873417721519,1.0
M0:298:7,298,M0,7,primary_semantic_capture,49,48,1.6455696202531647,True,True,True,0.379746835443038,1.0
M0:302:4,302,M0,4,primary_semantic_capture,25,24,1.105263157894737,True,False,True,0.23684210526315788,1.0
M0:303:4,303,M0,4,primary_semantic_capture,3,2,1.1111111111111112,True,False,True,0.16666666666666666,1.0
M0:319:6,319,M0,6,primary_semantic_capture,1,0,1.0434782608695652,True,False,True,0.17391304347826086,1.0
M0:323:4,323,M0,4,primary_semantic_capture,1,0,0.9545454545454546,False,False,True,0.18181818181818182,1.0
M0:325:0,325,M0,0,primary_semantic_capture,6,5,1.5666666666666667,True,True,True,0.16666666666666666,1.0
M0:325:1,325,M0,1,primary_semantic_capture,1,0,0.8666666666666667,False,False,True,0.2,1.0
M0:325:2,325,M0,2,primary_semantic_capture,7,6,0.9,False,False,True,0.13333333333333333,1.0
M0:325:4,325,M0,4,primary_semantic_capture,3,2,1.1333333333333333,True,False,True,0.16666666666666666,1.0
M0:325:6,325,M0,6,primary_semantic_capture,1,0,0.6333333333333333,False,False,True,0.13333333333333333,1.0
M0:332:3,332,M0,3,primary_semantic_capture,3,2,0.9565217391304348,False,False,True,0.30434782608695654,1.0
M0:333:6,333,M0,6,primary_semantic_capture,4,3,0.6444444444444445,False,False,True,0.17777777777777778,1.0
M0:345:0,345,M0,0,primary_semantic_capture,14,13,1.0348837209302326,True,False,True,0.08139534883720931,1.0
M0:348:3,348,M0,3,primary_semantic_capture,8,7,1.5161290322580645,True,True,True,0.0967741935483871,1.0
M0:353:0,353,M0,0,primary_semantic_capture,2,1,1.7692307692307692,True,True,False,0.6538461538461539,0.9444444444444444
M0:353:1,353,M0,1,primary_semantic_capture,5,4,1.8846153846153846,True,True,True,0.4230769230769231,1.0
M0:353:5,353,M0,5,primary_semantic_capture,1,0,1.7692307692307692,True,True,True,0.5384615384615384,1.0
M0:353:6,353,M0,6,primary_semantic_capture,1,0,1.7307692307692308,True,True,True,0.6153846153846154,1.0
M0:355:1,355,M0,1,primary_semantic_capture,7,6,0.6785714285714286,False,False,True,0.17857142857142858,1.0
M0:355:3,355,M0,3,primary_semantic_capture,27,26,1.5,True,True,True,0.17857142857142858,1.0
M0:355:4,355,M0,4,primary_semantic_capture,6,5,0.6785714285714286,False,False,True,0.21428571428571427,1.0
M0:362:3,362,M0,3,primary_semantic_capture,1,0,1.0,True,False,True,0.5434782608695652,1.0
M0:363:4,363,M0,4,primary_semantic_capture,9,8,0.821917808219178,False,False,True,0.136986301369863,1.0
M0:367:5,367,M0,5,primary_semantic_capture,3,2,1.6,True,True,True,0.4666666666666667,1.0
M0:369:0,369,M0,0,primary_semantic_capture,6,5,1.0833333333333333,True,False,True,0.3055555555555556,1.0
M0:369:7,369,M0,7,primary_semantic_capture,9,8,1.4722222222222223,True,True,True,0.2777777777777778,1.0
M0:376:2,376,M0,2,primary_semantic_capture,2,1,0.5652173913043478,False,False,True,0.2463768115942029,1.0
M0:376:4,376,M0,4,primary_semantic_capture,6,5,0.6086956521739131,False,False,True,0.17391304347826086,1.0
M0:380:2,380,M0,2,primary_semantic_capture,2,1,0.6065573770491803,False,False,True,0.26229508196721313,1.0
M0:380:5,380,M0,5,primary_semantic_capture,3,2,0.6557377049180327,False,False,True,0.21311475409836064,1.0
M0:380:5,380,M0,5,legacy_aligned_capture,3,2,0.6557377049180327,False,False,True,0.21311475409836064,1.0
M0:380:7,380,M0,7,primary_semantic_capture,2,1,0.8524590163934426,False,False,True,0.3114754098360656,1.0
M0:384:7,384,M0,7,primary_semantic_capture,15,14,1.0625,True,False,True,0.3125,1.0
M0:391:1,391,M0,1,primary_semantic_capture,1,0,0.7540983606557377,False,False,False,0.13114754098360656,0.8888888888888888
M0:391:3,391,M0,3,primary_semantic_capture,4,3,0.9672131147540983,False,False,True,0.09836065573770492,1.0
M0:391:4,391,M0,4,primary_semantic_capture,28,27,1.5737704918032787,True,True,True,0.11475409836065574,1.0
M0:395:0,395,M0,0,primary_semantic_capture,12,11,2.736842105263158,True,True,True,0.10526315789473684,1.0
M0:395:7,395,M0,7,primary_semantic_capture,12,11,2.9473684210526314,True,True,True,0.10526315789473684,1.0
M0:399:1,399,M0,1,primary_semantic_capture,9,8,1.380952380952381,True,True,True,0.11904761904761904,1.0
M0:399:6,399,M0,6,primary_semantic_capture,38,37,1.880952380952381,True,True,True,0.09523809523809523,1.0
M0:399:7,399,M0,7,primary_semantic_capture,13,12,1.5476190476190477,True,True,True,0.19047619047619047,1.0
M0:400:6,400,M0,6,primary_semantic_capture,2,1,1.0465116279069768,True,False,True,0.27906976744186046,1.0
M0:403:1,403,M0,1,primary_semantic_capture,1,0,1.894736842105263,True,True,True,0.21052631578947367,1.0
M0:409:5,409,M0,5,primary_semantic_capture,1,0,2.707317073170732,True,True,True,0.1951219512195122,1.0
M0:409:6,409,M0,6,primary_semantic_capture,8,7,2.731707317073171,True,True,True,0.17073170731707318,1.0
M0:409:6,409,M0,6,legacy_aligned_capture,8,7,2.731707317073171,True,True,True,0.17073170731707318,1.0
M0:420:0,420,M0,0,primary_semantic_capture,3,2,0.8571428571428571,False,False,True,0.35064935064935066,1.0
M0:420:1,420,M0,1,primary_semantic_capture,32,31,1.4675324675324675,True,True,True,0.33766233766233766,1.0
M0:420:7,420,M0,7,primary_semantic_capture,1,0,1.0129870129870129,True,False,True,0.5064935064935064,1.0
M0:432:4,432,M0,4,primary_semantic_capture,1,0,0.9347826086956522,False,False,True,0.15217391304347827,1.0
M0:436:1,436,M0,1,primary_semantic_capture,1,0,0.9459459459459459,False,False,True,0.5135135135135135,1.0
M0:436:1,436,M0,1,legacy_aligned_capture,1,0,0.9459459459459459,False,False,True,0.5135135135135135,1.0
M0:436:2,436,M0,2,primary_semantic_capture,1,0,0.6756756756756757,False,False,False,0.35135135135135137,0.6842105263157895
M0:436:6,436,M0,6,primary_semantic_capture,5,4,1.0,True,False,True,0.4864864864864865,1.0
M0:453:5,453,M0,5,primary_semantic_capture,32,31,2.3157894736842106,True,True,True,0.6842105263157895,1.0
M0:458:7,458,M0,7,primary_semantic_capture,2,1,1.8823529411764706,True,True,True,0.20588235294117646,1.0
M0:465:0,465,M0,0,primary_semantic_capture,1,0,0.7627118644067796,False,False,True,0.1694915254237288,1.0
M0:467:7,467,M0,7,primary_semantic_capture,10,9,1.6774193548387097,True,True,True,0.16129032258064516,1.0
M0:469:4,469,M0,4,primary_semantic_capture,2,1,0.7010309278350515,False,False,True,0.28865979381443296,1.0
M0:472:2,472,M0,2,primary_semantic_capture,1,0,1.2622950819672132,True,True,True,0.29508196721311475,1.0
M0:475:1,475,M0,1,primary_semantic_capture,2,1,1.6666666666666667,True,True,True,0.3333333333333333,1.0
M0:475:5,475,M0,5,primary_semantic_capture,2,1,1.4074074074074074,True,True,True,0.48148148148148145,1.0
M0:483:7,483,M0,7,primary_semantic_capture,14,13,1.0,True,False,True,0.21739130434782608,1.0
M0:489:0,489,M0,0,primary_semantic_capture,2,1,0.9152542372881356,False,False,True,0.05084745762711865,1.0
M0:489:5,489,M0,5,primary_semantic_capture,1,0,0.8983050847457628,False,False,True,0.2033898305084746,1.0
M0:489:7,489,M0,7,primary_semantic_capture,6,5,0.576271186440678,False,False,True,0.0847457627118644,1.0
M0:491:4,491,M0,4,primary_semantic_capture,1,0,1.1538461538461537,True,False,True,0.2564102564102564,1.0
M0:496:5,496,M0,5,primary_semantic_capture,5,4,1.2622950819672132,True,True,True,0.18032786885245902,1.0
M0:499:0,499,M0,0,primary_semantic_capture,2,1,2.4468085106382977,True,True,True,0.48936170212765956,1.0
M0:499:1,499,M0,1,primary_semantic_capture,5,4,1.1914893617021276,True,False,True,0.44680851063829785,1.0
M0:508:0,508,M0,0,primary_semantic_capture,12,11,1.0163934426229508,True,False,True,0.5409836065573771,1.0
M0:510:3,510,M0,3,primary_semantic_capture,6,5,2.966666666666667,True,True,True,0.03333333333333333,1.0
M0:511:0,511,M0,0,primary_semantic_capture,10,9,1.095890410958904,True,False,True,0.3150684931506849,1.0
M0:511:0,511,M0,0,legacy_aligned_capture,12,11,1.1232876712328768,True,False,True,0.3150684931506849,1.0
M0:513:1,513,M0,1,primary_semantic_capture,18,17,1.046875,True,False,True,0.171875,1.0
M0:519:0,519,M0,0,primary_semantic_capture,9,8,2.55,True,True,True,0.1,1.0
M0:519:2,519,M0,2,primary_semantic_capture,8,7,2.0,True,True,True,0.15,1.0
M0:519:4,519,M0,4,primary_semantic_capture,1,0,0.65,False,False,True,0.1,1.0
M0:519:4,519,M0,4,legacy_aligned_capture,4,3,0.9,False,False,True,0.1,1.0
M0:521:3,521,M0,3,primary_semantic_capture,5,4,1.1081081081081081,True,False,True,0.08108108108108109,1.0
M0:521:7,521,M0,7,primary_semantic_capture,1,0,0.43243243243243246,False,False,True,0.0945945945945946,1.0
M0:526:2,526,M0,2,primary_semantic_capture,1,0,0.48,False,False,True,0.32,1.0
M0:530:0,530,M0,0,primary_semantic_capture,2,1,0.8307692307692308,False,False,True,0.5230769230769231,1.0
M0:530:0,530,M0,0,legacy_aligned_capture,2,1,0.8307692307692308,False,False,True,0.5230769230769231,1.0
M0:531:1,531,M0,1,primary_semantic_capture,26,25,1.3736263736263736,True,True,True,0.054945054945054944,1.0
M0:531:7,531,M0,7,primary_semantic_capture,12,11,1.4505494505494505,True,True,True,0.04395604395604396,1.0
M0:539:0,539,M0,0,primary_semantic_capture,10,9,2.013888888888889,True,True,True,0.20833333333333334,1.0
M0:539:1,539,M0,1,primary_semantic_capture,20,19,1.4305555555555556,True,True,True,0.06944444444444445,1.0
M0:547:0,547,M0,0,primary_semantic_capture,42,41,2.072289156626506,True,True,True,0.1566265060240964,1.0
M0:548:0,548,M0,0,primary_semantic_capture,4,3,0.9574468085106383,False,False,,0.0,nan
M0:548:1,548,M0,1,primary_semantic_capture,9,8,1.1702127659574468,True,False,True,0.19148936170212766,1.0
M0:548:7,548,M0,7,primary_semantic_capture,9,8,2.0,True,True,True,0.1276595744680851,1.0
M0:553:0,553,M0,0,primary_semantic_capture,8,7,0.9230769230769231,False,False,True,0.28846153846153844,1.0
M0:553:7,553,M0,7,primary_semantic_capture,24,23,1.2884615384615385,True,True,True,0.25,1.0
M0:558:5,558,M0,5,primary_semantic_capture,7,6,1.2804878048780488,True,True,True,0.4024390243902439,1.0
M0:560:2,560,M0,2,primary_semantic_capture,2,1,2.188679245283019,True,True,True,0.37735849056603776,1.0
M0:568:1,568,M0,1,primary_semantic_capture,9,8,3.7142857142857144,True,True,True,0.17142857142857143,1.0
M0:568:3,568,M0,3,primary_semantic_capture,1,0,1.0571428571428572,True,False,True,0.05714285714285714,1.0
M0:568:7,568,M0,7,primary_semantic_capture,1,0,1.0285714285714285,True,False,True,0.2571428571428571,1.0
M0:576:5,576,M0,5,primary_semantic_capture,10,9,0.9518072289156626,False,False,True,0.1566265060240964,1.0
M0:585:3,585,M0,3,primary_semantic_capture,1,0,0.5625,False,False,False,0.1875,0.6666666666666666
M0:590:1,590,M0,1,primary_semantic_capture,4,3,0.7560975609756098,False,False,True,0.024390243902439025,1.0
M0:590:1,590,M0,1,legacy_aligned_capture,4,3,0.7560975609756098,False,False,True,0.024390243902439025,1.0
M0:590:2,590,M0,2,primary_semantic_capture,4,3,0.9512195121951219,False,False,True,0.0975609756097561,1.0
M0:590:2,590,M0,2,legacy_aligned_capture,4,3,0.9512195121951219,False,False,True,0.0975609756097561,1.0
M0:590:5,590,M0,5,primary_semantic_capture,3,2,1.3902439024390243,True,True,True,0.024390243902439025,1.0
M0:590:6,590,M0,6,primary_semantic_capture,1,0,0.7560975609756098,False,False,True,0.024390243902439025,1.0
M0:591:0,591,M0,0,primary_semantic_capture,5,4,1.125,True,False,True,0.1,1.0
