episode_variant,capture_kind,scope,metric,m0,m1,diff_or_value,ci_low,ci_high,n_m0,n_m1,direction
lineage,primary,slot,pooled_capture_hazard,0.021863414296108937,0.055661124307205066,0.03379771001109613,0.03083512095179727,0.03687981793575166,nan,nan,UP
lineage,primary,slot,pooled_gap_stop_hazard,0.16921881296413563,0.06955209042876341,-0.09966672253537222,-0.1081725642846135,-0.09189991671978423,nan,nan,DOWN
lineage,primary,slot,pooled_inepisode_stop_hazard,0.08093967637988982,0.044180522565320665,-0.03675915381456915,-0.0402047667859999,-0.03320547744192607,nan,nan,DOWN
lineage,primary,slot,cif_capture_final,0.07134168224004653,0.3191368898103668,0.24779520757032028,0.23191885686424046,0.26382081516963873,nan,nan,UP
lineage,primary,slot,cif_stop_final,0.9286583177599537,0.6808631101896327,-0.24779520757032092,-0.2638208151696391,-0.23205510792836076,nan,nan,DOWN
lineage,primary,slot,propensity_component,nan,nan,0.11237962778125123,0.10009911953669377,0.1250512766612666,nan,nan,UP
lineage,primary,slot,exposure_component,nan,nan,0.1352817330631893,0.12502024750077909,0.14548971860656226,nan,nan,UP
lineage,primary,slot,decomposition_total,nan,nan,0.24766136084444051,0.2318845302487414,0.26371811952001883,nan,nan,UP
lineage,primary,slot,identity_error,nan,nan,0.0,-5.551115123125783e-17,5.551115123125783e-17,nan,nan,UNRESOLVED
lineage,primary,slot,raw_cif_diff,nan,nan,0.24779520757032028,0.23191885686424046,0.26382081516963873,nan,nan,UP
lineage,primary,slot,hazard_k1,0.015089860969820278,0.039818278995189735,0.02472841802536946,0.019101134105033814,0.030667125063820914,nan,nan,UP
lineage,primary,slot,hazard_k2,0.017415215398716773,0.04995227489659561,0.032537059497878836,0.025914541157623833,0.039355456097577214,nan,nan,UP
lineage,primary,slot,hazard_k3,0.02868012876792508,0.05457979225684608,0.025899663488921,0.016868221519941527,0.03467464455259938,nan,nan,UP
lineage,primary,slot,hazard_k4,0.02641232575201761,0.0635236830455954,0.03711135729357779,0.027145868961769185,0.04720208415219187,nan,nan,UP
lineage,primary,slot,hazard_k5,0.022993688007213707,0.0660377358490566,0.043044047841842896,0.03221506499929504,0.05408762847735345,nan,nan,UP
lineage,primary,slot,hazard_k6,0.026256983240223464,0.06592729513247074,0.039670311892247276,0.028890514929764865,0.05085325261971944,nan,nan,UP
lineage,primary,slot,hazard_k7,0.02654867256637168,0.0673992673992674,0.040850594832895715,0.028519582526051915,0.053089858430561646,nan,nan,UP
lineage,primary,slot,hazard_k8,0.023007395234182416,0.07019810508182601,0.0471907098476436,0.03338340715633348,0.060918787103395884,nan,nan,UP
lineage,primary,slot,hazard_k9plus_pooled,0.02273516140229087,0.05471227147001282,0.03197711006772195,0.02642161122151059,0.037841637966079346,nan,nan,UP
lineage,primary,slot,cif_capture_at_k1,0.010060475798030044,0.03371142947027196,0.023650953672241917,0.01913703830162555,0.028400568138684287,nan,nan,UP
lineage,primary,slot,cif_capture_at_k2,0.018653412494696556,0.06924922406395045,0.0505958115692539,0.04418103925004718,0.05760707088440644,nan,nan,UP
