episode_variant,capture_kind,kmax,pooled_hazard_diff,pooled_hazard_ci_low,pooled_hazard_ci_high,propensity_component,propensity_ci_low,propensity_ci_high,exposure_component,exposure_ci_low,exposure_ci_high,decomposition_total,raw_cif_diff,k_pool
lineage,primary,87,0.03379771001109613,0.03083512095179727,0.03687981793575166,0.11237962778125123,0.10009911953669377,0.1250512766612666,0.1352817330631893,0.12502024750077909,0.14548971860656226,0.24766136084444051,0.24779520757032028,24
lineage,legacy,495,0.003762595590084605,0.003109578490223764,0.004438922993097188,0.045312776448978694,0.039829394719900095,0.0508233398630525,0.020163341485217166,0.017754424547847165,0.02268111083816731,0.06547611793419586,0.06465954433850228,37
contiguous,primary,25,0.07010246164813792,0.06423712486650354,0.076106395659081,0.13687519548110025,0.1234962998594572,0.15009491110444262,0.1105629339304568,0.10222759184425988,0.11915631359143218,0.24743812941155702,0.24744607775606486,10
contiguous,legacy,25,0.018074720269246693,0.016040461467243507,0.020195777364820162,0.04764767730478241,0.042018119065179715,0.053358119104448556,0.02025127604827339,0.017842559343132888,0.02279211837018657,0.06789895335305579,0.06796004780786863,10
