episode_variant,capture_kind,kmax,pooled_hazard_diff,pooled_hazard_ci_low,pooled_hazard_ci_high,propensity_component,propensity_ci_low,propensity_ci_high,exposure_component,exposure_ci_low,exposure_ci_high,decomposition_total,raw_cif_diff,k_pool
lineage,primary,51,0.0097522494442994,0.007463149273853545,0.01201023650044692,0.03339092479707588,0.0253704186017755,0.0414614450099667,0.008597944263884813,0.006021751407127169,0.011328987811477589,0.04198886906096069,0.0419878651683659,24
lineage,legacy,277,0.0015435128086532586,0.0007355289326966125,0.0023594102087346074,0.0068627930610959745,0.003626778681985756,0.01014047042865281,0.0007935435450564807,0.0005015505488441712,0.0011311775946569414,0.007656336606152455,0.0076563366061524534,26
contiguous,primary,32,0.015785260299187757,0.012017144693404355,0.01938637006221975,0.03307673428715818,0.02489448852673367,0.04092310131663002,0.00891733229971304,0.006662750168401131,0.011218915520241741,0.04199406658687122,0.04204123959436986,11
contiguous,legacy,32,0.00297726895417887,0.0015963297545103985,0.004396572442860329,0.006821340423153551,0.003672911239568534,0.010100070596341224,0.0008647575421676218,0.0005340004928667797,0.0012293831604587402,0.007686097965321173,0.007686097965321173,11
